,title_source,author_list,publisher,pub_date,doi,id,abstract,acknowledgements,journal_title,volume,issue,times_cited,mesh_terms,cited_dimensions_ids,title
10,EFFECTS OF TELEVISION MODELING ON RESIDENTIAL ENERGY CONSERVATION,"Richard A. Winett, Ingrid N. Leckliter, Donna E. Chinn, Brian Stahl, Susie Q. Love",Wiley,1985,10.1901/jaba.1985.18-33,pub.1017377476,"A combination of social marketing, communications, social learning (particularly modeling), and behavior analysis may provide an effective framework for behavior change via films and television. We used this approach in developing special television programs about residential energy conservation. The programs were tailored and directed to preselected middle-class homeowners (N = 150), and delivered over a public access channel of a cable TV system. The results indicated that after one program exposure (about 20 minutes), viewers adopted simple strategies modeled in the programs which led to savings of approximately 10% on their home energy use for a substantial part of the cooling and heating season. Although the potential benefits to costs of large-scale media efforts seemed great, institutional barriers for such programs were identified. Less expensive, more local programs seem more viable.",,Journal of Applied Behavior Analysis,18,1,89,,"['pub.1001593503', 'pub.1024368052', 'pub.1058528589', 'pub.1069417360', 'pub.1068867768', 'pub.1013788676', 'pub.1058528423', 'pub.1058528354', 'pub.1016739902', 'pub.1047552922', 'pub.1022891723', 'pub.1018720350', 'pub.1058578671', 'pub.1016486847']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
11,Motivating Residents to Conserve Energy without Financial Incentives,"Andrea H. McMakin, Elizabeth L. Malone, Regina E. Lundgren",SAGE Publications,2002-11,10.1177/001391602237252,pub.1037690197,"Given the aim to motivate people to conserve energy in homes, we need to understand what drives people’s energy use behavior and how it can be influenced. This article describes applied energy conservation campaigns at two U.S. military installations where residents do not pay their own utility bills. Customized approaches were designed for each installation based on a broad social-psychological model. Before-and-after energy use was measured, and residents were surveyed about end use behaviors. Residents said they were motivated by the desire to do the right thing, set good examples for their children, and have comfortable homes. For sustained change, respondents recommended continued awareness and education, disincentives, and incentives. Findings support some aspects of a social-psychological model, with emphasis on altruistic and egoistic motives for behavioral change. These studies may have implications for situations where residents are not billed for individual energy use, including other government-subsidized facilities, master-metered apartments, and university dormitories.",,Environment and Behavior,34,6,138,,"['pub.1052951518', 'pub.1036284779', 'pub.1012397487', 'pub.1037618143', 'pub.1017377476', 'pub.1053145659', 'pub.1052407474', 'pub.1012462941', 'pub.1018510388', 'pub.1021073723', 'pub.1070818849', 'pub.1038301022', 'pub.1030120813', 'pub.1004422579', 'pub.1029025585', 'pub.1048846301', 'pub.1033608430', 'pub.1029194400', 'pub.1047638420', 'pub.1053654089', 'pub.1046564487', 'pub.1033066989', 'pub.1032482586', 'pub.1058528462']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
12,Water Use as a Commons Dilemma,"Suzanne C. Thompson, Kirsten Stoutemyer",SAGE Publications,1991-05,10.1177/0013916591233004,pub.1025337729,"It was hypothesized that educational interventions that focus on the long-term consequences of water use and the efficacy of personal action to conserve would be more effective in reducing water consumption among residential water users than messages that focus on the economic advantages of conservation or a control condition that was given only tips on how to conserve. The 171 households consenting to participate in the study were randomly assigned to one of three conditions: education about long-term consequences and personal efficacy of conservation, education about the self-interested economic effect of water use, or a participation control group. A second control group of 36 households was not contacted and was unaware of the study. A second independent variable was socioeconomic status of area (SES): lower-middle versus upper-middle SES. Water use was recorded for the 2-month pre-intervention, intervention, and post-intervention periods. In support of the hypothesis, residents in the lower-middle class area conserved more water in both the intervention and post-intervention period if they received the long-term consequences and personal efficacy education. However, neither educational message had an effect in the upper-middle class area. Possible explanations and implications for these results are discussed.",,Environment and Behavior,23,3,56,,"['pub.1037087187', 'pub.1037975391', 'pub.1053759201', 'pub.1033118347', 'pub.1041051306', 'pub.1051616891', 'pub.1027170176', 'pub.1010711255', 'pub.1018510388', 'pub.1052962522', 'pub.1063625920', 'pub.1041228621', 'pub.1038156088', 'pub.1029085522', 'pub.1002026222']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
13,Transforming Values into Actions,"George S. Howard, Edward Delgado, Deloria Miller, Sarah Gubbins",SAGE Publications,1993-10,10.1177/0011000093214004,pub.1004127455,"Overconsumption of nonrenewable natural resources (and the resulting pollution that the waste of energy produces) represents important ways in which the industrialized nations put stress on the earth's ecosystems. Several technologies to make better use of electrical energy for lighting, heating, and cooling are now available but dramatically underused by consumers. Three studies are reported that consider strategies to measure the cost efficiency and to enhance the use of new energy-saving devices. The roles that psychologists might play in identifying and counteracting resistances to change are examined",,The Counseling Psychologist,21,4,14,,"['pub.1034449018', 'pub.1015223350', 'pub.1044249699', 'pub.1037552954', 'pub.1028751659', 'pub.1009649276', 'pub.1021359613', 'pub.1020740796', 'pub.1030120813', 'pub.1003601963']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
14,Fostering Sustainable Behavior Through Community-Based Social Marketing,Doug McKenzie-Mohr,American Psychological Association (APA),2000-05,10.1037/0003-066x.55.5.531,pub.1029551432,"Psychology has a central role to play in speeding the transition to a sustainable future, because a central aspect of sustainability is widespread behavior change. To date, however, most programs promoting sustainable behavior have featured information-intensive campaigns that make little use of psychological knowledge. Community-based social marketing is an attractive alternative approach in which promoters identify the activity to be promoted and the barriers to this activity and then design a strategy to overcome these barriers, using psychological knowledge regarding behavior change. The strategy is piloted to test its effectiveness and later evaluated when it is implemented on a broader scale. Unlike many information-intensive campaigns, community-based social marketing has been shown to have a much greater probability of promoting sustainable behavior. Two case studies are provided to illustrate the approach and its possible results.",,American Psychologist,55,5,343,"['Community Participation', 'Conservation of Natural Resources', 'Environmental Pollution', 'Forecasting', 'Humans', 'Marketing of Health Services', 'Social Behavior']","['pub.1033781069', 'pub.1048209249', 'pub.1069271320', 'pub.1058528459', 'pub.1067629722', 'pub.1024566710', 'pub.1010711255', 'pub.1018510388', 'pub.1025552647', 'pub.1040920241', 'pub.1047004250', 'pub.1026516285', 'pub.1014263360', 'pub.1046623891', 'pub.1051005690', 'pub.1033066989', 'pub.1035701425', 'pub.1011275907', 'pub.1004866593', 'pub.1034520045', 'pub.1070710809']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
15,It Takes More Than Information to Save Energy,E. Scott Geller,American Psychological Association (APA),1992,10.1037/0003-066x.47.6.814,pub.1030044378,,,American Psychologist,47,6,31,,"['pub.1033781069', 'pub.1047206747', 'pub.1021073723', 'pub.1007718244', 'pub.1016621654']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
16,Human Population: The Next Half Century,Joel E Cohen,American Association for the Advancement of Science (AAAS),2003-11-14,10.1126/science.1088665,pub.1062448481,"By 2050, the human population will probably be larger by 2 to 4 billion people, more slowly growing (declining in the more developed regions), more urban, especially in less developed regions, and older than in the 20th century. Two major demographic uncertainties in the next 50 years concern international migration and the structure of families. Economies, nonhuman environments, and cultures (including values, religions, and politics) strongly influence demographic changes. Hence, human choices, individual and collective, will have demographic effects, intentional or otherwise.",,Science,302,5648,545,"['Acquired Immunodeficiency Syndrome', 'Aging', 'Birth Rate', 'Culture', 'Developed Countries', 'Developing Countries', 'Divorce', 'Emigration and Immigration', 'Family', 'Female', 'Fertility', 'Forecasting', 'Humans', 'Life Expectancy', 'Male', 'Marriage', 'Mortality', 'Population Density', 'Population Dynamics', 'Population Growth', 'Urban Population']","['pub.1044906055', 'pub.1051386158']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
17,The Effect of Strength of Commitment on Newspaper Recycling,"Anton U. Pardini, Richard D. Katzev",Portico,1983-01-01,10.2190/6pn9-mxfp-3bff-chhb,pub.1069271302,,,Journal of Environmental Systems,13,3,55,,"['pub.1043773634', 'pub.1046053530', 'pub.1069276010', 'pub.1044362979', 'pub.1006704788', 'pub.1002995927', 'pub.1018068391', 'pub.1069273744', 'pub.1047004250', 'pub.1069272952', 'pub.1014276234', 'pub.1069274582', 'pub.1058528278', 'pub.1090078679']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
18,Litter Reduction,"Lynn Levitt, Gloria Leventhal",SAGE Publications,1986-07,10.1177/0013916586184003,pub.1014517459,"The effectiveness of the New York State Bottle Bill was examined. A multiple-time series design was used in which seven observations of the number of returnable and nonreturnable bottles and cans were taken on a highway exit and railroad tracks in New York and New Jersey every 2 weeks prior to and after the implementation of the New York State Bottle Bill (September 12, 1983). Another two observations were made 10 and 12 months later. Results indicated a significant decrease in returnable litter on the highway exit in New York as compared with New Jersey. A decrease in returnable litter was also found for the railroad tracks in New York when only deposit bottles and cans were counted. Results for nonreturnable litter indicated no significant differences. It was concluded that the New York State Bottle Bill, requiring a 5-cent deposit on most bottles and cans, was an effective strategy for decreasing the amount of returnable litter but had no effect on nonreturnable bottles and cans.",,Environment and Behavior,18,4,21,,"['pub.1038281403', 'pub.1049359692', 'pub.1033323576', 'pub.1018754203']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
19,"THE EFFECTS OF VIDEOTAPE MODELING AND DAILY FEEDBACK ON RESIDENTIAL ELECTRICITY CONSERVATION, HOME TEMPERATURE AND HUMIDITY, PERCEIVED COMFORT, AND CLOTHING WORN: WINTER AND SUMMER","Richard A. Winett, Joseph W. Hatcher, T. Richard Fort, Ingrid N. Leckliter, Susan Q. Love, Anne W. Riley, James F. Fishback",Wiley,1982,10.1901/jaba.1982.15-381,pub.1024368052,"Two studies were conducted in all-electric townhouses and apartments in the winter (N = 83) and summer (N = 54) to ascertain how energy conservation strategies focusing on thermostat change and set-backs and other low-cost/no-cost approaches would affect overall electricity use and electricity used for heating and cooling, the home thermal environment, the perceived comfort of participants, and clothing that was worn. The studies assessed the effectiveness of videotape modeling programs that demonstrated these conservation strategies when used alone or combined with daily feedback on electricity use. In the winter, the results indicated that videotape modeling and/or feedback were effective relative to baseline and to a control group in reducing overall electricity use by about 15% and electricity used for heating by about 25%. Hygrothermographs, which accurately and continuously recorded temperature and humidity in the homes, indicated that participants were able to live with no reported loss in comfort and no change in attire at a mean temperature of about 62 degrees F when home and about 59 degrees F when asleep. The results were highly discrepant with prior laboratory studies indicating comfort at 75 degrees F with the insulation value of the clothing worn by participants in this study. In the summer, a combination of strategies designed to keep a home cool with minimal or no air conditioning, in conjunction with videotape modeling and/or daily feedback, resulted in overall electricity reductions of about 15% with reductions on electricity for cooling of about 34%, but with feedback, and feedback and modeling more effective than modeling alone. Despite these electricity savings, hygrothermograph recordings indicated minimal temperature change in the homes, with no change in perceived comfort or clothing worn. The results are discussed in terms of discrepancies with laboratory studies, optimal combinations of video-media and personal contact to promote behavior change, and energy policies that may be mislabeled as sacrificial and underestimate the effectiveness of conservation strategies such as those investigated in these studies.",,Journal of Applied Behavior Analysis,15,3,80,,"['pub.1046053530', 'pub.1062646798', 'pub.1058528459', 'pub.1030731574', 'pub.1007968555', 'pub.1062230915', 'pub.1069271355', 'pub.1025446875', 'pub.1069276085', 'pub.1013788676', 'pub.1001670018', 'pub.1016052468', 'pub.1062229446', 'pub.1004571055', 'pub.1037226530', 'pub.1016739902', 'pub.1069271287', 'pub.1022891723', 'pub.1043196149', 'pub.1001593503', 'pub.1020982095']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
20,Waste Receptacle Designs as Interventions for Litter Control,"E. Scott Geller, William S. Brasted, Millard F. Mann",Portico,1979-01-01,10.2190/5p46-8h2n-41jr-c2ej,pub.1069271040,,,Journal of Environmental Systems,9,2,27,,"['pub.1026460447', 'pub.1017441123', 'pub.1002973666', 'pub.1029664017', 'pub.1016268071', 'pub.1008662499', 'pub.1026416269', 'pub.1049359692', 'pub.1105481508']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
21,PROMPTING A CONSUMER BEHAVIOR FOR POLLUTION CONTROL1,"E. Scott Geller, John C. Farris, David S. Post",Wiley,1973,10.1901/jaba.1973.6-367,pub.1041250181,"A field application of behavior modification studied the relative effectiveness of different prompting procedures for increasing the probability that customers entering a grocery store would select their soft drinks in returnable rather than nonreturnable containers. Six different 2-hr experimental conditions during which bottle purchases were recorded were (1) No Prompt (i.e., control), (2) one student gave incoming customers a handbill urging the purchase of soft drinks in returnable bottles, (3) distribution of the handbill by one student and public charting of each customer's bottle purchases by another student, (4) handbill distribution and charting by a five-member group, (5) handbills distributed and purchases charted by three females. The variant prompting techniques were equally effective, and in general increased the percentage of returnable-bottle customers by an average of 25%.",,Journal of Applied Behavior Analysis,6,3,82,,"['pub.1069415663', 'pub.1049359692', 'pub.1026460447']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
22,THE USE OF STIMULUS CONTROL OVER LITTERING IN A NATURAL SETTING,"George W. O'Neill, Linda S. Blanck, Marcia A. Joyner",Wiley,1980,10.1901/jaba.1980.13-379,pub.1028049755,"A conventional litter receptacle (55-gallon drum) and a specially designated receptacle consisting of a 55-gallon drum adorned with a plywood ""har"" were alternated in two areas of a football stadium over a period of four games. A frequency count of several types of litter articles showed that more than twice as many items were deposited within the experimental container than the conventional one (an average of 52.5 and 21.5 items per game, respectively). The weight of litter deposited within each container showed a similar relationship. An average of 0.65 kg of litter per game were deposited within the conventional receptacle compared with an average of 1.3 kg per game for the experimental receptacle.",,Journal of Applied Behavior Analysis,13,2,21,"['Behavior Therapy', 'Environmental Pollution', 'Humans', 'Refuse Disposal']","['pub.1026460447', 'pub.1017441123', 'pub.1041250181', 'pub.1018754203', 'pub.1045347411', 'pub.1018743681', 'pub.1049359692']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
23,THE RECYCLING SOLUTION: HOW I INCREASED RECYCLING ON DILWORTH ROAD1,J. Jacob Keller,Wiley,1991-12,10.1901/jaba.1991.24-617,pub.1035833998,,,Journal of Applied Behavior Analysis,24,4,17,,,Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
