,wordscore,matching_terms,mode_words,research,solution,tech,doi
10,-2,"[('social', 1)]","[('the', 7), ('to', 6), ('and', 6), ('energy', 5)]","[('trial', 1), ('result', 1), ('random', 1), ('control', 1)]","[('increas', 1), ('intervent', 1)]","[('social', 1)]",10.1038/nenergy.2016.91
11,1,"[('consum', 1)]","[('the', 9), ('of', 8), ('energy', 7), ('hotels', 4)]","[('studi', 1), ('posit', 1), ('propos', 1), ('found', 1)]",[],[],10.1016/j.ijhm.2020.102538
12,-2,"[('experi', 1), ('belief', 1), ('social', 1), ('design', 1)]","[('and', 18), ('the', 13), ('a', 10), ('to', 8)]","[('result', 1), ('review', 1), ('differ', 1), ('function', 1)]",[],"[('communiti', 1), ('social', 1), ('data', 1)]",10.1007/s11269-012-0061-x
13,-3,[],"[('of', 5), ('the', 4), ('programs', 3), ('to', 3)]","[('found', 1), ('research', 1), ('analysi', 1)]",[],[],10.1177/0011000093214005
14,4,"[('behavior', 1), ('belief', 1), ('social', 1)]","[('the', 14), ('to', 8), ('a', 6), ('directive', 5)]","[('predict', 1), ('studi', 1), ('posit', 1), ('found', 1)]","[('find', 1)]","[('virtual', 1), ('onlin', 1), ('social', 1)]",10.1371/journal.pone.0247520
15,4,"[('rate', 1), ('consum', 1), ('trust', 1), ('social', 1)]","[('the', 19), ('to', 11), ('of', 9), ('and', 8)]","[('impact', 1), ('particip', 1), ('assess', 1), ('overal', 1)]","[('increas', 1)]","[('social', 1), ('like', 1)]",10.1080/1354983052000330761
16,-1,"[('exposur', 1), ('human', 1)]","[('the', 13), ('of', 12), ('to', 11), ('in', 6)]","[('result', 1), ('field', 1), ('studi', 1), ('measur', 1)]",[],[],10.3390/parasitologia1010003
17,0,[],[],[],[],[],10.3917/cips.102.0259
18,0,[],"[('of', 11), ('the', 10), ('that', 4), ('in', 4)]","[('model', 1), ('articl', 1), ('studi', 1), ('analysi', 1)]",[],[],10.1177/009539979002100405
19,2,"[('behavior', 1), ('experi', 1), ('inform', 1)]","[('the', 8), ('that', 5), ('conservation', 5), ('strategies', 4)]","[('trial', 1), ('result', 1), ('field', 1), ('studi', 1)]","[('increas', 1), ('find', 1)]",[],10.1016/j.enpol.2013.05.109
20,7,"[('behavior', 1), ('boost', 1), ('social', 1), ('design', 1)]","[('the', 8), ('of', 6), ('and', 6), ('recycling', 4)]","[('trial', 1), ('result', 1), ('argu', 1), ('recent', 1)]","[('increas', 1)]","[('channel', 1), ('social', 1)]",10.1080/15245004.1997.9960986
21,-3,"[('behavior', 1), ('human', 1)]","[('of', 11), ('the', 10), ('in', 8), ('and', 7)]","[('field', 1), ('review', 1), ('organ', 1), ('articl', 1)]",[],"[('communiti', 1)]",10.1080/10852350902975884
22,4,"[('experi', 1), ('social', 1), ('design', 1)]","[('the', 5), ('and', 4), ('of', 3), ('this', 2)]","[('argu', 1), ('organ', 1), ('articl', 1), ('experi', 1)]",[],"[('social', 1)]",10.1007/bf02737078
23,6,"[('behavior', 1), ('social', 1), ('prosoci', 1)]","[('to', 7), ('of', 7), ('and', 6), ('the', 5)]","[('review', 1), ('posit', 1), ('recent', 1), ('articl', 1)]","[('increas', 1)]","[('communiti', 1), ('social', 1)]",10.1177/104973159300300405
24,-4,"[('behavior', 1), ('design', 1)]","[('the', 26), ('of', 9), ('to', 8), ('cultural', 8)]","[('result', 1), ('field', 1), ('studi', 1), ('prospect', 1)]","[('intervent', 1)]","[('communiti', 1), ('data', 1)]",10.1007/s42822-019-00019-6
25,6,"[('behavior', 1), ('social', 1), ('user', 1), ('inform', 1)]","[('the', 10), ('to', 8), ('on', 7), ('communication', 6)]","[('result', 1), ('field', 1), ('studi', 1), ('particip', 1)]",[],"[('user', 1), ('social', 1)]",10.1016/j.wasman.2014.01.006
26,-5,"[('behavior', 1)]","[('the', 8), ('of', 5), ('to', 4), ('a', 3)]","[('result', 1), ('studi', 1), ('particip', 1), ('suggest', 1)]",[],[],10.1590/s0034-89101990000500008
27,4,"[('accuraci', 1), ('social', 1)]","[('the', 24), ('to', 14), ('of', 13), ('and', 12)]","[('predict', 1), ('result', 1), ('studi', 1), ('differ', 1)]",[],"[('social', 1), ('data', 1)]",10.1002/nvsm.280
28,0,[],[],[],[],[],10.4337/9781786432834.00017
29,5,"[('user', 1), ('design', 1)]","[('to', 6), ('the', 6), ('signs', 6), ('in', 5)]","[('result', 1), ('studi', 1), ('differ', 1), ('follow-up', 1)]","[('increas', 1), ('find', 1)]","[('user', 1)]",10.1016/j.apergo.2011.09.008
30,1,"[('behavior', 1)]","[('and', 9), ('to', 5), ('of', 5), ('safety', 4)]","[('result', 1), ('articl', 1), ('research', 1), ('analysi', 1)]",[],[],10.1016/j.jsr.2007.03.010
31,7,"[('behavior', 1), ('interfac', 1), ('user', 1)]","[('the', 16), ('of', 8), ('to', 7), ('energy', 7)]","[('result', 1), ('field', 1), ('posit', 1), ('intervent', 1)]","[('intervent', 1)]","[('user', 1), ('algorithm', 1), ('data', 1)]",10.3390/su10061744
32,4,"[('behavior', 1)]","[('the', 6), ('of', 6), ('and', 5), ('behavior', 4)]","[('argu', 1), ('review', 1), ('intervent', 1), ('research', 1)]","[('increas', 1), ('find', 1), ('intervent', 1)]",[],10.5210/bsi.v13i1.33
33,0,[],[],[],[],[],10.1007/978-1-4684-3692-1_4
34,4,"[('behavior', 1)]","[('the', 6), ('of', 6), ('and', 5), ('behavior', 4)]","[('argu', 1), ('review', 1), ('intervent', 1), ('research', 1)]","[('increas', 1), ('find', 1), ('intervent', 1)]",[],10.5210/bsi.v13i1.33
35,1,"[('behavior', 1), ('attitudin', 1)]","[('and', 9), ('the', 7), ('in', 6), ('were', 5)]","[('result', 1), ('studi', 1), ('posit', 1), ('found', 1)]",[],"[('moder', 1), ('data', 1)]",10.5467/jkess.2007.28.5.635
36,3,"[('behavior', 1), ('rate', 1)]","[('the', 13), ('of', 11), ('littering', 9), ('behavior', 4)]","[('result', 1), ('analys', 1), ('studi', 1), ('predict', 1)]","[('find', 1)]",[],10.1177/0013916511412179
37,1,[],"[('the', 5), ('of', 4), ('conclusion', 4), ('messages', 4)]","[('review', 1), ('research', 1), ('suggest', 1)]",[],"[('recommend', 1)]",10.1080/00028533.1997.11978023
38,-1,"[('experi', 1), ('design', 1)]","[('the', 10), ('energy', 7), ('eco-driving', 6), ('consumption', 6)]","[('trial', 1), ('predict', 1), ('field', 1), ('studi', 1)]","[('intervent', 1)]","[('web', 1), ('data', 1)]",10.1016/j.erss.2019.101407
39,2,"[('rate', 1)]","[('the', 14), ('of', 8), ('bse', 5), ('to', 3)]","[('result', 1), ('studi', 1), ('subject', 1), ('random', 1)]","[('intervent', 1)]",[],10.1016/s0005-7894(87)80037-0
40,6,"[('behavior', 1), ('rate', 1)]","[('and', 13), ('the', 12), ('of', 11), ('energy', 11)]","[('predict', 1), ('field', 1), ('review', 1), ('studi', 1)]","[('decreas', 1), ('increas', 1), ('intervent', 1)]","[('algorithm', 1)]",10.3390/en81010996
41,2,"[('experi', 1)]","[('the', 6), ('that', 4), ('to', 4), ('we', 4)]","[('experi', 1), ('field', 1), ('studi', 1), ('random', 1)]","[('find', 1)]",[],10.2139/ssrn.2100372
42,4,"[('behavior', 1), ('user', 1)]","[('to', 7), ('the', 6), ('of', 5), ('in', 4)]","[('overal', 1), ('result', 1), ('control', 1), ('suggest', 1)]","[('increas', 1)]","[('user', 1)]",10.1080/01490408309513014
43,3,"[('behavior', 1)]","[('the', 16), ('of', 10), ('in', 6), ('waste', 6)]","[('result', 1), ('studi', 1), ('random', 1), ('assess', 1)]","[('increas', 1)]","[('like', 1)]",10.3390/su11226496
44,0,[],[],[],[],[],10.21019/9781582121802
45,2,"[('rate', 1)]","[('the', 12), ('in', 7), ('a', 6), ('condition', 6)]","[('studi', 1), ('result', 1), ('control', 1), ('particip', 1)]","[('increas', 1)]",[],10.1177/0013916505276744
46,2,"[('behavior', 1), ('design', 1), ('social', 1), ('inform', 1)]","[('the', 10), ('to', 7), ('energy', 3), ('programs', 3)]","[('field', 1), ('review', 1), ('articl', 1), ('research', 1)]",[],"[('social', 1)]",10.1037/0003-066x.45.10.1109
47,0,"[('behavior', 1), ('design', 1), ('inform', 1)]","[('the', 10), ('behaviors', 6), ('that', 6), ('of', 5)]","[('result', 1), ('studi', 1), ('intervent', 1), ('found', 1)]","[('increas', 1), ('intervent', 1)]","[('communiti', 1)]",10.3390/su10030809
48,3,"[('attitudin', 1), ('behavior', 1), ('consum', 1), ('media', 1)]","[('of', 9), ('energy', 8), ('the', 7), ('in', 4)]","[('survey', 1), ('research', 1), ('impact', 1), ('suggest', 1)]",[],"[('media', 1), ('communiti', 1)]",10.1080/00958964.1987.9942737
49,4,"[('social', 1), ('inform', 1)]","[('of', 26), ('and', 26), ('the', 19), ('urban', 7)]","[('review', 1), ('function', 1), ('measur', 1), ('impact', 1)]",[],"[('moder', 1), ('social', 1)]",10.1016/j.jenvman.2022.114786
50,4,"[('behavior', 1)]","[('the', 6), ('of', 6), ('and', 5), ('behavior', 4)]","[('argu', 1), ('review', 1), ('intervent', 1), ('research', 1)]","[('increas', 1), ('find', 1), ('intervent', 1)]",[],10.5210/bsi.v13i1.33
51,7,"[('behavior', 1), ('attitudin', 1), ('social', 1), ('design', 1)]","[('and', 13), ('of', 6), ('environmental', 6), ('the', 5)]","[('review', 1), ('studi', 1), ('intervent', 1), ('research', 1)]","[('increas', 1), ('intervent', 1)]","[('social', 1)]",10.1111/j.1540-4560.1989.tb01531.x
52,4,"[('behavior', 1), ('design', 1)]","[('use', 6), ('energy', 6), ('of', 5), ('for', 5)]","[('result', 1), ('studi', 1), ('control', 1), ('assess', 1)]","[('increas', 1), ('intervent', 1)]",[],10.1002/bin.1463
53,4,"[('attent', 1), ('consum', 1), ('interfac', 1), ('user', 1)]","[('of', 14), ('the', 10), ('and', 8), ('electricity', 7)]","[('studi', 1), ('posit', 1), ('control', 1), ('imag', 1)]","[('increas', 1)]","[('recommend', 1), ('user', 1)]",10.1016/j.erss.2020.101603
54,2,"[('behavior', 1)]","[('behavior', 5), ('the', 3), ('conservation', 3), ('of', 3)]","[('studi', 1), ('review', 1), ('research', 1), ('framework', 1)]","[('find', 1)]",[],10.1111/j.1540-4560.1981.tb02627.x
55,2,"[('behavior', 1), ('experi', 1)]","[('the', 12), ('interventions', 7), ('behavior', 7), ('of', 6)]","[('review', 1), ('intervent', 1), ('experi', 1), ('articl', 1)]","[('increas', 1), ('find', 1), ('intervent', 1)]",[],10.1177/0013916595272002
56,1,"[('behavior', 1), ('experi', 1), ('social', 1)]","[('in', 6), ('a', 5), ('attitude', 5), ('attitude-relevant', 5)]","[('studi', 1), ('differ', 1), ('function', 1), ('experi', 1)]",[],"[('social', 1)]",10.1080/00224545.2014.959884
57,3,[],"[('of', 11), ('and', 9), ('in', 7), ('gated', 7)]","[('predict', 1), ('studi', 1), ('regress', 1), ('research', 1)]","[('find', 1)]","[('communiti', 1), ('data', 1)]",10.3390/buildings12030307
58,2,"[('experi', 1)]","[('is', 7), ('punishment', 7), ('the', 7), ('and', 6)]","[('experi', 1), ('studi', 1), ('differ', 1)]","[('find', 1)]",[],10.1111/ecin.12713
59,-5,"[('behavior', 1), ('experi', 1)]","[('and', 9), ('in', 6), ('the', 6), ('a', 5)]","[('predict', 1), ('result', 1), ('studi', 1), ('articl', 1)]","[('evok', 1), ('find', 1)]",[],10.1016/j.joep.2017.03.009
60,4,"[('experi', 1), ('voic', 1)]","[('the', 8), ('more', 5), ('voice', 4), ('a', 4)]","[('result', 1), ('research', 1), ('particip', 1), ('experi', 1)]","[('increas', 1)]","[('voic', 1)]",10.1002/ejsp.368
61,8,"[('behavior', 1), ('experi', 1), ('belief', 1), ('design', 1)]","[('is', 3), ('contributions', 3), ('the', 3), ('threshold', 3)]","[('predict', 1), ('subject', 1), ('recent', 1), ('experi', 1)]","[('decreas', 1), ('increas', 1), ('find', 1)]","[('data', 1)]",10.1007/s10101-009-0069-8
62,0,[],[],[],[],[],10.1007/978-0-387-72596-3_16
63,-1,"[('social', 1)]","[('of', 11), ('pmi', 10), ('the', 8), ('and', 8)]","[('model', 1), ('framework', 1)]",[],"[('social', 1)]",10.1108/s1479-361x20170000016008
64,-2,"[('social', 1), ('prosoci', 1)]","[('fear', 5), ('and', 5), ('by', 4), ('in', 4)]","[('mean', 1), ('predict', 1), ('result', 1), ('differ', 1)]","[('modul', 1)]","[('social', 1)]",10.1038/s41598-021-88663-0
65,3,"[('user', 1)]","[('the', 12), ('and', 11), ('of', 6), ('tourism', 5)]","[('result', 1), ('studi', 1), ('research', 1), ('analysi', 1)]",[],"[('user', 1), ('data', 1)]",10.1016/j.ocecoaman.2019.104993
66,6,"[('behavior', 1), ('experi', 1), ('consum', 1), ('belief', 1)]","[('the', 27), ('premium', 10), ('and', 7), ('an', 6)]","[('mean', 1), ('field', 1), ('studi', 1), ('experi', 1)]","[('increas', 1)]",[],10.1007/s11238-019-09732-5
67,3,"[('interfac', 1), ('social', 1)]","[('and', 14), ('the', 12), ('to', 11), ('a', 10)]","[('assess', 1), ('studi', 1), ('framework', 1), ('analyz', 1)]","[('increas', 1)]","[('social', 1), ('communiti', 1), ('data', 1)]",10.1016/j.ijdrr.2020.101977
68,0,[],[],[],[],[],10.1093/oep/gpv048
69,1,"[('social', 1), ('design', 1)]","[('and', 8), ('that', 6), ('teams', 5), ('the', 5)]","[('model', 1), ('found', 1), ('differ', 1)]",[],"[('social', 1), ('data', 1)]",10.1037/a0038315
70,0,[],[],[],[],[],10.3917/mard.demou.2020.01.0377
71,4,"[('human', 1), ('social', 1), ('prosoci', 1)]","[('in', 9), ('to', 8), ('the', 8), ('and', 6)]","[('predict', 1), ('result', 1), ('differ', 1)]","[('increas', 1), ('find', 1)]","[('like', 1), ('social', 1)]",10.1002/per.2139
72,2,"[('behavior', 1), ('social', 1), ('inform', 1)]","[('the', 11), ('to', 9), ('of', 6), ('and', 4)]","[('result', 1), ('propos', 1), ('control', 1), ('intervent', 1)]","[('intervent', 1)]","[('social', 1)]",10.1109/tcsii.2020.3022791
73,4,"[('behavior', 1), ('experi', 1), ('rate', 1), ('social', 1)]","[('the', 6), ('in', 6), ('cooperation', 5), ('framing', 4)]","[('result', 1), ('studi', 1), ('posit', 1), ('negat', 1)]","[('increas', 1), ('find', 1)]","[('social', 1)]",10.1016/j.joep.2016.04.003
74,2,"[('attent', 1)]","[('the', 8), ('of', 7), ('and', 7), ('pair', 5)]","[('studi', 1), ('suggest', 1)]","[('find', 1)]",[],10.1142/s1363919620500723
75,0,[],[],[],[],[],10.1007/978-3-319-19650-3_3060
76,1,"[('behavior', 1), ('altruism', 1), ('human', 1)]","[('the', 17), ('reciprocity', 13), ('of', 11), ('indirect', 5)]","[('result', 1), ('studi', 1), ('recent', 1), ('found', 1)]","[('increas', 1)]",[],10.1007/s10015-018-0486-2
77,-4,[],"[('the', 10), ('members', 5), ('intragroup', 5), ('in', 4)]","[('research', 1), ('studi', 1), ('impact', 1), ('result', 1)]","[('increas', 1), ('find', 1)]",[],10.1177/1368430220910795
78,0,"[('experi', 1), ('attent', 1)]","[('temporal', 6), ('to', 6), ('of', 5), ('the', 5)]","[('experi', 1), ('studi', 1)]","[('find', 1)]",[],10.1016/j.obhdp.2020.06.002
79,3,"[('behavior', 1), ('belief', 1), ('rate', 1)]","[('helping', 12), ('and', 8), ('of', 7), ('the', 6)]","[('mean', 1), ('predict', 1), ('result', 1), ('studi', 1)]",[],[],10.1002/job.772
80,-2,"[('behavior', 1), ('human', 1), ('social', 1)]","[('the', 12), ('of', 10), ('in', 7), ('being', 7)]","[('result', 1), ('field', 1), ('studi', 1), ('differ', 1)]","[('modul', 1), ('find', 1)]","[('social', 1), ('like', 1)]",10.1101/2020.10.26.354704
81,-7,"[('experi', 1), ('design', 1)]","[('the', 8), ('in', 4), ('we', 3), ('of', 3)]","[('predict', 1), ('result', 1), ('posit', 1), ('negat', 1)]",[],[],10.1111/jpet.12359
82,0,[],"[('the', 10), ('and', 5), ('of', 4), ('ec', 3)]","[('differ', 1)]",[],[],10.2139/ssrn.1161108
83,3,"[('behavior', 1), ('prosoci', 1), ('trust', 1), ('social', 1)]","[('of', 11), ('the', 10), ('eyes', 9), ('and', 5)]","[('result', 1), ('studi', 1), ('subject', 1), ('differ', 1)]","[('increas', 1)]","[('moder', 1), ('social', 1), ('data', 1)]",10.3390/g8020020
84,0,[],[],[],[],[],10.1016/j.injury.2022.01.042
85,7,"[('experi', 1), ('social', 1)]","[('the', 20), ('of', 16), ('in', 11), ('we', 7)]","[('studi', 1), ('differ', 1), ('posit', 1), ('negat', 1)]","[('increas', 1), ('find', 1)]","[('like', 1), ('social', 1), ('data', 1)]",10.2139/ssrn.3674980
86,-1,[],"[('and', 13), ('the', 13), ('of', 8), ('for', 6)]","[('mean', 1), ('result', 1), ('studi', 1), ('posit', 1)]","[('find', 1)]","[('moder', 1)]",10.1016/j.leaqua.2011.10.001
87,2,"[('choic', 1)]","[('and', 6), ('in', 6), ('a', 4), ('competitiveness', 4)]","[('measur', 1), ('differ', 1), ('overal', 1), ('negat', 1)]","[('find', 1)]",[],10.1016/j.socec.2015.09.003
88,2,"[('behavior', 1), ('social', 1), ('prosoci', 1)]","[('the', 6), ('in', 5), ('that', 5), ('a', 5)]","[('field', 1), ('suggest', 1), ('particip', 1)]","[('increas', 1)]","[('social', 1)]",10.1016/j.socec.2019.101510
89,-5,"[('experi', 1)]","[('the', 13), ('mechanism', 8), ('can', 7), ('in', 6)]","[('experi', 1), ('measur', 1), ('subject', 1)]",[],[],10.1007/s10683-014-9392-1
90,5,"[('behavior', 1), ('attent', 1), ('consum', 1), ('social', 1)]","[('the', 22), ('and', 13), ('to', 9), ('in', 8)]","[('result', 1), ('studi', 1), ('differ', 1), ('analyz', 1)]","[('increas', 1)]","[('like', 1), ('social', 1), ('communiti', 1)]",10.3390/su13020507
91,-2,"[('bias', 1)]","[('teams', 7), ('of', 5), ('team', 5), ('that', 4)]","[('result', 1), ('field', 1), ('studi', 1), ('propos', 1)]",[],[],10.1177/1046496415616865
92,1,"[('behavior', 1), ('experi', 1), ('bias', 1)]","[('the', 6), ('vaccination', 5), ('from', 5), ('to', 4)]","[('result', 1), ('posit', 1), ('control', 1), ('intervent', 1)]","[('increas', 1), ('find', 1), ('intervent', 1)]","[('like', 1)]",10.1016/j.jebo.2015.11.008
93,0,[],[],[],[],[],10.4324/9781315171371-1
94,0,[],[],[],[],[],10.1201/9781003215349-6
95,7,"[('inform', 1), ('social', 1), ('design', 1)]","[('of', 15), ('the', 14), ('and', 8), ('in', 6)]","[('studi', 1), ('differ', 1), ('organ', 1), ('pattern', 1)]","[('increas', 1), ('find', 1)]","[('social', 1), ('data', 1)]",10.1016/j.landurbplan.2015.10.006
96,5,"[('experi', 1), ('choic', 1), ('trust', 1), ('social', 1)]","[('and', 11), ('groups', 8), ('to', 7), ('their', 6)]","[('posit', 1), ('negat', 1), ('experi', 1), ('convent', 1)]",[],"[('social', 1)]",10.1016/j.cresp.2021.100016
97,0,[],[],[],[],[],10.4018/978-1-5225-0726-0
98,5,"[('social', 1)]","[('de', 10), ('le', 7), ('à', 7), ('soutien', 6)]","[('analys', 1), ('studi', 1), ('differ', 1), ('articl', 1)]","[('increas', 1), ('find', 1)]","[('moder', 1), ('social', 1)]",10.1002/cjas.1598
99,2,"[('behavior', 1), ('trust', 1), ('trump', 1)]","[('in', 13), ('national', 9), ('the', 8), ('identification', 6)]","[('result', 1), ('studi', 1), ('test', 1), ('particip', 1)]","[('increas', 1), ('find', 1)]",[],10.1111/pops.12752
100,6,"[('experi', 1), ('belief', 1), ('accuraci', 1), ('inform', 1)]","[('of', 8), ('the', 8), ('competence', 8), ('information', 7)]","[('argu', 1), ('negat', 1), ('propos', 1), ('experi', 1)]","[('find', 1)]","[('like', 1)]",10.1371/journal.pone.0201180
101,2,[],"[('the', 9), ('productivity', 7), ('is', 5), ('output', 5)]","[('result', 1), ('differ', 1)]","[('increas', 1), ('find', 1)]",[],10.1016/j.geb.2017.11.005
102,4,"[('behavior', 1), ('human', 1), ('prosoci', 1), ('belief', 1)]","[('in', 6), ('uncertainty', 5), ('that', 5), ('group', 4)]","[('result', 1), ('differ', 1), ('recent', 1), ('suggest', 1)]","[('find', 1)]","[('social', 1)]",10.2139/ssrn.3193594
103,6,"[('behavior', 1), ('experi', 1), ('social', 1), ('inform', 1)]","[('interdependence', 11), ('and', 11), ('of', 9), ('in', 7)]","[('studi', 1), ('subject', 1), ('differ', 1), ('organ', 1)]","[('find', 1)]","[('social', 1)]",10.1037/pspp0000166
104,-1,"[('social', 1)]","[('games', 8), ('the', 7), ('and', 5), ('social', 4)]","[('result', 1), ('studi', 1), ('differ', 1), ('function', 1)]",[],"[('social', 1)]",10.1177/1088868310368535
105,-6,"[('behavior', 1), ('social', 1)]","[('the', 13), ('and', 10), ('of', 9), ('social', 6)]","[('assess', 1), ('measur', 1), ('suggest', 1)]",[],"[('social', 1)]",10.1177/1088868313501745
106,-3,"[('design', 1), ('trust', 1), ('attent', 1), ('social', 1)]","[('the', 19), ('of', 16), ('and', 11), ('to', 9)]","[('organ', 1), ('control', 1), ('semant', 1), ('function', 1)]",[],"[('social', 1)]",10.1075/z.230
107,-3,"[('human', 1), ('social', 1), ('prosoci', 1)]","[('social', 9), ('and', 8), ('to', 7), ('in', 6)]","[('studi', 1), ('differ', 1), ('control', 1), ('assess', 1)]","[('increas', 1)]","[('onlin', 1), ('social', 1)]",10.1016/j.neuropsychologia.2021.108016
108,5,"[('experi', 1), ('choic', 1), ('social', 1)]","[('the', 9), ('and', 6), ('a', 5), ('promises', 5)]","[('predict', 1), ('posit', 1), ('random', 1), ('experi', 1)]","[('find', 1)]","[('social', 1)]",10.1016/j.jpubeco.2015.03.008
109,-2,[],"[('the', 12), ('insurance', 7), ('global', 7), ('and', 6)]","[('studi', 1), ('differ', 1), ('propos', 1), ('found', 1)]",[],"[('like', 1)]",10.1088/1742-5468/aa9bb6
110,-2,[],"[('the', 12), ('insurance', 7), ('global', 7), ('and', 6)]","[('studi', 1), ('differ', 1), ('propos', 1), ('found', 1)]",[],"[('like', 1)]",10.1088/1742-5468/aa9bb6
