,title,author_list,publisher,pub_date,doi,id,abstract,acknowledgements,journal_title,volume,issue,times_cited,mesh_terms,cited_dimensions_ids
55,Inequality is a relationship,"Deborah A. Prentice, J. Nicole Shelton",Cambridge University Press (CUP),2012-11-20,10.1017/s0140525x1200129x,pub.1008353238,"A view of inequality as a relationship between the advantaged and the disadvantaged has gained considerable currency in psychological research. However, the implications of this view for theories and interventions designed to reduce inequality remain largely unexplored. Drawing on the literature on close relationships, we identify several key features that a relational theory of social change should include.",,Behavioral and Brain Sciences,35,6,1,"['Group Processes', 'Humans', 'Interpersonal Relations', 'Prejudice', 'Social Identification']","['pub.1029720786', 'pub.1015291630', 'pub.1050726226', 'pub.1129945151']"
56,A Less Attractive Feature of Empathy: Intergroup Empathy Bias,"Melike M. Fourie, Sivenesi Subramoney, Pumla Gobodo‐ Madikizela",IntechOpen,2017-08-23,10.5772/intechopen.69287,pub.1091394286,"A Less Attractive Feature of Empathy: Intergroup Empathy Bias | InTechOpen, Published on: 2017-08-23. Authors: Melike M. Fourie, Sivenesi Subramoney and Pumla Gobodo‐ Madikizela",,,,,7,,"['pub.1016993210', 'pub.1043211776', 'pub.1005702184', 'pub.1001220552', 'pub.1004364138', 'pub.1038610459', 'pub.1027772632', 'pub.1020999000', 'pub.1046151327', 'pub.1032279279', 'pub.1012770050', 'pub.1002039811', 'pub.1024271257', 'pub.1008261783', 'pub.1011025172', 'pub.1017131232', 'pub.1064222231', 'pub.1045962671', 'pub.1028051926', 'pub.1016950647', 'pub.1062466599', 'pub.1034520004', 'pub.1007341010', 'pub.1043891799', 'pub.1045966987', 'pub.1035456130', 'pub.1001400014', 'pub.1037084302', 'pub.1053743412', 'pub.1013773644', 'pub.1023757041', 'pub.1026999527', 'pub.1025723748', 'pub.1067627424', 'pub.1063904726', 'pub.1007244934', 'pub.1011235172', 'pub.1031574080', 'pub.1045101396', 'pub.1052261803', 'pub.1008516786', 'pub.1001190435', 'pub.1064218657', 'pub.1040585545', 'pub.1003192557', 'pub.1016154301', 'pub.1007183817', 'pub.1014476040', 'pub.1007926755', 'pub.1021880123', 'pub.1022062564', 'pub.1003944328', 'pub.1022108943', 'pub.1044494513', 'pub.1087381411', 'pub.1051734161', 'pub.1023383040', 'pub.1032824869', 'pub.1016288785', 'pub.1005929158', 'pub.1046250293', 'pub.1008899393', 'pub.1043515683', 'pub.1016040518', 'pub.1000696637', 'pub.1029733767', 'pub.1022692574', 'pub.1041923129', 'pub.1034567861', 'pub.1047638078', 'pub.1030908405', 'pub.1045343897', 'pub.1044925148', 'pub.1015321135', 'pub.1023743529', 'pub.1048780576', 'pub.1064000258', 'pub.1035331528', 'pub.1063712965', 'pub.1046578282', 'pub.1050800644', 'pub.1018623546', 'pub.1036109505', 'pub.1024799499', 'pub.1029759056', 'pub.1001972192', 'pub.1061949305', 'pub.1043886322']"
57,The Importance of WE in POWER: Integrating Police Wellness and Ethics,"Daniel M. Blumberg, Konstantinos Papazoglou, Michael D. Schlosser",Frontiers,2020-12-18,10.3389/fpsyg.2020.614995,pub.1133585647,"In this article, the authors introduce the POWER perspective of police wellness and ethics. POWER stands for Police Officer Wellness, Ethics, and Resilience. The perspective represents the view that wellness and ethics cannot be discussed separately; they are inextricably connected to each other. Initiatives to address one should always, simultaneously, include the other. Although there is a need for wellness and ethics to be addressed on an organizational level, the present article emphasizes the importance of POWER for individual police officers. The authors make the argument that officers need to expand the way in which they conceptualize their own wellness to include efforts to maintain ethical decision-making. Specifically, officers will remain psychologically healthier when they take active steps to stay steadfastly committed to their ethical principles. Likewise, officers who utilize a comprehensive wellness program, including strategies to boost resilience, will be far less likely to experience lapses in ethical decision-making. Further recommendations for action and implication of this matter in law enforcement are presented and discussed.",,Frontiers in Psychology,11,,2,,"['pub.1124284819', 'pub.1088001874', 'pub.1046415779', 'pub.1043472539', 'pub.1127196664', 'pub.1063982004', 'pub.1113873432', 'pub.1125334904', 'pub.1111635972', 'pub.1131818387', 'pub.1025333638', 'pub.1124292572', 'pub.1105412667', 'pub.1096035262', 'pub.1052355739', 'pub.1064222190', 'pub.1036939186', 'pub.1107844438', 'pub.1130890505', 'pub.1016346938', 'pub.1124301535', 'pub.1053880097', 'pub.1100682892', 'pub.1063981933', 'pub.1018209648', 'pub.1093068900']"
58,Character deprecation in fake news: Is it in supply or demand?,"Jonathon McPhetres, David G. Rand, Gordon Pennycook",SAGE Publications,2021-05-31,10.1177/1368430220965709,pub.1138487417,"A major focus of current research is understanding why people fall for and share fake news on social media. While much research focuses on understanding the role of personality-level traits for those who share the news, such as partisanship and analytic thinking, characteristics of the articles themselves have not been studied. Across two pre-registered studies, we examined whether character-deprecation headlines - headlines designed to deprecate someone's character, but which have no impact on policy or legislation - increased the likelihood of self-reported sharing on social media. In Study 1 we harvested fake news items from online sources and compared sharing intentions between Republicans and Democrats. Results showed that, compared to Democrats, Republicans had greater intention to share character-deprecation headlines compared to news with policy implications. We then applied these findings experimentally. In Study 2 we developed a set of fake news items that was matched for content across pro-Democratic and pro-Republican headlines and across news focusing on a specific person (e.g., <i>Trump</i>) versus a generic person (e.g., <i>a Republican</i>). We found that, contrary to Study 1, Republicans were no more inclined toward character deprecation than Democrats. However, these findings suggest that while character assassination may be a feature of pro-Republican news, it is not more attractive to Republicans versus Democrats. News with policy implications, whether fake or real, seems consistently more attractive to members of both parties regardless of whether it attempts to deprecate an opponent's character. Thus, character deprecation in fake news may in be in supply, but not in demand.",,Group Processes & Intergroup Relations,24,4,2,,"['pub.1111788955', 'pub.1128884494', 'pub.1124797127', 'pub.1107799556', 'pub.1120691079', 'pub.1120384147', 'pub.1125748361', 'pub.1107188281', 'pub.1123960880', 'pub.1111650526', 'pub.1113155690', 'pub.1091450204', 'pub.1117478084', 'pub.1112072550', 'pub.1085319721', 'pub.1126716940', 'pub.1126123252', 'pub.1123826836', 'pub.1035348335', 'pub.1124028507', 'pub.1123698595', 'pub.1126992089', 'pub.1009990026', 'pub.1125450609', 'pub.1101382661', 'pub.1101380916', 'pub.1124583173', 'pub.1122816952', 'pub.1038097502', 'pub.1111751640', 'pub.1126995346', 'pub.1124768614', 'pub.1105010184', 'pub.1017715853', 'pub.1101226804', 'pub.1049436349', 'pub.1111308730']"
59,"Altruism, collective rationality, and extreme self-sacrifice","Andrew M. Colman, Briony D. Pulford",Cambridge University Press (CUP),2018-12-27,10.1017/s0140525x18001632,pub.1111581469,"Puzzlement about extreme self-sacrifice arises from an unarticulated assumption of psychological egoism, according to which people invariably act in their own self-interests. However, altruism and collective rationality are well established experimentally: people sometimes act to benefit others or in the interests of groups to which they belong. When such social motives are sufficiently strong, extreme self-sacrifice presents no special problem of explanation and does not require out-group threats.",,Behavioral and Brain Sciences,41,,0,"['Altruism', 'Motivation']","['pub.1003400446', 'pub.1103447601', 'pub.1037886511', 'pub.1038279990', 'pub.1013702671', 'pub.1054886947', 'pub.1018364720', 'pub.1011185716', 'pub.1022666755', 'pub.1015479077', 'pub.1016349072', 'pub.1030816364', 'pub.1038323281', 'pub.1092531601', 'pub.1024235603', 'pub.1018540267', 'pub.1040823284', 'pub.1069703006']"
60,Models of Cognition and Their Applications in Behavioral Economics: A Conceptual Framework for Nudging Derived From Behavior Analysis and Relational Frame Theory,"Marco Tagliabue, Valeria Squatrito, Giovambattista Presti",Frontiers,2019-11-01,10.3389/fpsyg.2019.02418,pub.1122254170,"This paper puts forward a rounder conceptual model for interpreting short- and long-term effects of choice behavior. As a further development of dual-process theory, Kahneman (2003) distinguished between intuition and reasoning, which served as the respective precursors of the cognitive processing systems 1 and 2. We maintain that they reflect the more rigorous distinction between brief and immediate and extended and elaborated relational responding, which may be reinterpreted through an analysis of their functional properties. Repertoires of relational responding are offered by the multi-dimensional multi-level model. Specifically, we provide a conceptual account of how nudging, or the manipulation of environmental contingencies, works on the creation and modification of relational framing. Educative nudges, or boosts, are a subset of nudges that may more easily maintain target choice behavior in the future. The central role of verbal behavior is essential toward formulating rules, which inform and guide choice behavior over time. Although nudges are traditionally regarded as System 1-steered aspects, they are herein regarded as cues for responding to relational frames, which may induce System 2-steered aspects. We suggest adopting the implicit relational assessment procedure (IRAP) to inform how coherent and immediate responding to novel relational responding may occur in the presence of choice behavior. Several examples are included to support the claim of encompassing relational responding and choice behavior. We address the instances of consumer behavior, stereotypy and prejudices, eating behavior, and overcoming cognitive biases. The conclusions depict a promising way forward for the study of choice: an improved model for interpreting and overcoming human errors, due to changes in the contingencies of behavior.",The authors would like to thank Nicholas J. Bergin and Andrea Modica: this work would not have been complete without their dedication. The authors would also like to thank the reviewers for their helpful comments and the typesetter for the meticulous work.,Frontiers in Psychology,10,,9,,"['pub.1026011209', 'pub.1021213407', 'pub.1063349143', 'pub.1091400980', 'pub.1090372793', 'pub.1034838032', 'pub.1090370424', 'pub.1098737098', 'pub.1032458076', 'pub.1033849521', 'pub.1035643093', 'pub.1083549816', 'pub.1015090541', 'pub.1044748811', 'pub.1062489452', 'pub.1109887757', 'pub.1105982055', 'pub.1069641248', 'pub.1049706475', 'pub.1047497821', 'pub.1047679748', 'pub.1047320480', 'pub.1016796326', 'pub.1064524079', 'pub.1012855265', 'pub.1003793274', 'pub.1078381747', 'pub.1009791231', 'pub.1088003522', 'pub.1002942051', 'pub.1062510354', 'pub.1102455228', 'pub.1078543882', 'pub.1050236804', 'pub.1063473703', 'pub.1085731530', 'pub.1102419252', 'pub.1027589283', 'pub.1023566077', 'pub.1085418823', 'pub.1090371257', 'pub.1008984423', 'pub.1052443644', 'pub.1086125355', 'pub.1091133241', 'pub.1002845654', 'pub.1020530677', 'pub.1002517224', 'pub.1078543809', 'pub.1037836890', 'pub.1078543664', 'pub.1019788184', 'pub.1085736723', 'pub.1078447845', 'pub.1031834881', 'pub.1039547346', 'pub.1024300600', 'pub.1091049706', 'pub.1021557563', 'pub.1102472376', 'pub.1085872332', 'pub.1032004291', 'pub.1017742630', 'pub.1078542907', 'pub.1028818804', 'pub.1100171285', 'pub.1072708790', 'pub.1090366324', 'pub.1031375348', 'pub.1072708931', 'pub.1005724095', 'pub.1107526034', 'pub.1011029692', 'pub.1064223545', 'pub.1095861151', 'pub.1041711936', 'pub.1090365868', 'pub.1109097345', 'pub.1069237336', 'pub.1016246443', 'pub.1025156236', 'pub.1092687735', 'pub.1006347016', 'pub.1058672540', 'pub.1090384405', 'pub.1090372120', 'pub.1030002751', 'pub.1027708450', 'pub.1064524810', 'pub.1016907210', 'pub.1049694934', 'pub.1001661783', 'pub.1050120445']"
61,Overriding a moral default for honesty or dishonesty,Nobuhito Abe,Proceedings of the National Academy of Sciences,2020-08-13,10.1073/pnas.2014489117,pub.1130092098,,My research is supported by Japan Society for the Promotion of Science KAKENHI Grant 19H00628.,Proceedings of the National Academy of Sciences of the United States of America,117,36,3,"['Cognition', 'Deception', 'Morals']","['pub.1129844834', 'pub.1000349577', 'pub.1112019010', 'pub.1125166120', 'pub.1006286175', 'pub.1018006842', 'pub.1028246529', 'pub.1050590980', 'pub.1014850111', 'pub.1003842923', 'pub.1111009680', 'pub.1117923582', 'pub.1102392874', 'pub.1105237393', 'pub.1001245757', 'pub.1117296208', 'pub.1051815549', 'pub.1032559699']"
62,Psychological risk factors and the course of depression and anxiety disorders: A review of 15 years of NESDA research,"Sascha Y Struijs, Peter J de Jong, Bertus F Jeronimus, Willem van der Does, Harriëtte Riese, Philip Spinhoven",Elsevier,2021-09-01,10.1016/j.jad.2021.08.086,pub.1140777750,"BACKGROUND: The Netherlands Study of Depression and Anxiety (NESDA; N<sub>baseline</sub>=2981) is an ongoing longitudinal, multi-site, naturalistic, cohort study examining the etiology, course, and consequences of depression and anxiety. In this article we synthesize and evaluate fifteen years of NESDA research on prominent psychological risk factors for the onset, persistence, recurrence, and comorbidity of affective disorders.
METHODS: A narrative review of 62 NESDA articles examining the specificity and predictive value of neuroticism, behavioral inhibition, repetitive negative thinking, experiential avoidance, cognitive reactivity, locus of control, (implicit) self-esteem, (implicit) disorder-specific self-associations, and attentional bias for the course of affective disorders.
RESULTS: All self-reported risk factors showed cross-sectional relationships with singular and comorbid affective disorders, and prospective relationships with the development and chronicity of depression and anxiety disorders. High neuroticism, low self-esteem, and negative repetitive thinking showed most prominent transdiagnostic relationships, whereas cognitive reactivity showed most pronounced depression-specific associations. Implicit self-esteem showed predictive validity for the persistence and recurrence of anxiety and depression over and above self-reported risk factors. Automatic approach-avoidance behavior and attentional bias for negative, positive, or threat words showed no relationship with affective disorders.
CONCLUSION: NESDA identified both (a) transdiagnostic factors (e.g., neuroticism, low implicit self-esteem, repetitive negative thinking) that may help explain the comorbidity between affective disorders and overlap in symptoms, and (b) indications for disorder-specific risk factors (e.g., cognitive responsivity) which support the relevance of distinct disorder categories and disorder-specific mechanisms. Thus, the results point to the relevance of both transdiagnostic and disorder-specific targets for therapeutic interventions.",None.,Journal of Affective Disorders,295,,1,"['Anxiety', 'Anxiety Disorders', 'Cohort Studies', 'Depression', 'Humans', 'Netherlands', 'Prospective Studies', 'Risk Factors']","['pub.1023276458', 'pub.1010926018', 'pub.1039552612', 'pub.1138157250', 'pub.1053346139', 'pub.1012973908', 'pub.1044851528', 'pub.1034602255', 'pub.1014408630', 'pub.1004085175', 'pub.1011076933', 'pub.1047688983', 'pub.1002063116', 'pub.1002640983', 'pub.1024102957', 'pub.1011147610', 'pub.1040899824', 'pub.1032658116', 'pub.1073288245', 'pub.1037855198', 'pub.1033022522', 'pub.1019760435', 'pub.1135138633', 'pub.1124101740', 'pub.1111370477', 'pub.1022778459', 'pub.1042780125', 'pub.1106082023', 'pub.1063496702', 'pub.1022956770', 'pub.1047921084', 'pub.1042549366', 'pub.1072206264', 'pub.1120396269', 'pub.1113264704', 'pub.1023960249', 'pub.1109489541', 'pub.1037124498', 'pub.1034220746', 'pub.1038907965', 'pub.1019770990', 'pub.1084126570', 'pub.1051947869', 'pub.1042846228', 'pub.1035877332', 'pub.1053969483', 'pub.1101331789', 'pub.1021684622', 'pub.1044542608', 'pub.1053768758', 'pub.1039837279', 'pub.1005404321', 'pub.1010298860', 'pub.1030489563', 'pub.1069777102', 'pub.1044179467', 'pub.1016514681', 'pub.1008340850', 'pub.1090356022', 'pub.1005937886', 'pub.1008329888', 'pub.1039024938', 'pub.1104410700', 'pub.1003027650', 'pub.1053154733', 'pub.1019088751', 'pub.1111218880', 'pub.1041220868', 'pub.1016665063', 'pub.1120685259', 'pub.1013715548', 'pub.1040532662', 'pub.1104128845', 'pub.1016759909', 'pub.1043988689', 'pub.1067627952', 'pub.1011564622', 'pub.1020116088', 'pub.1072204786', 'pub.1006175383', 'pub.1018931155', 'pub.1053748123', 'pub.1113383751', 'pub.1039394527', 'pub.1037711189', 'pub.1014005463', 'pub.1029453923', 'pub.1049265354', 'pub.1111323786', 'pub.1051315009', 'pub.1090956745', 'pub.1107946190', 'pub.1063493903', 'pub.1103682383', 'pub.1038270740', 'pub.1030653166', 'pub.1033081581', 'pub.1053897130', 'pub.1008139876', 'pub.1009207601', 'pub.1043779094', 'pub.1130902785', 'pub.1045425245', 'pub.1085383627', 'pub.1084252902', 'pub.1103597973', 'pub.1000835619']"
63,"Proceedings of the Fourteenth International Conference on Management Science and Engineering Management, Volume 1",,Springer Nature,2020,10.1007/978-3-030-49829-0,pub.1128687660,"This book gathers the proceedings of the 14th International Conference on Management Science and Engineering Management (ICMSEM 2020). Held at the Academy of Studies of Moldova from July 30 to August 2, 2020, the conference provided a platform for researchers and practitioners in the field to share their ideas and experiences. Covering a wide range of topics, including hot management issues in engineering science, the book presents novel ideas and the latest research advances in the area of management science and engineering management. It includes both theoretical and practical studies of management science applied in computing methodology, highlighting advanced management concepts, and computing technologies for decision-making problems involving large, uncertain and unstructured data. The book also describes the changes and challenges relating to decision-making procedures at the dawn of the big data era, and discusses new technologies for analysis, capture, search, sharing, storage, transfer and visualization, and in the context of privacy violations, as well as advances in the integration of optimization, statistics and data mining. Given its scope, it will appeal to a wide readership, particularly those looking for new ideas and research directions.",,Advances in Intelligent Systems and Computing,1190,,2,,
64,"Social Media Users Produce More Affect That Supports Cultural Values, but Are More Influenced by Affect That Violates Cultural Values","Tiffany W. Hsu, Yu Niiya, Mike Thelwall, Michael Ko, Brian Knutson, Jeanne L. Tsai",American Psychological Association (APA),2021-11,10.1037/pspa0000282,pub.1140888512,"Although social media plays an increasingly important role in communication around the world, social media research has primarily focused on Western users. Thus, little is known about how cultural values shape social media behavior. To examine how cultural affective values might influence social media use, we developed a new sentiment analysis tool that allowed us to compare the affective content of Twitter posts in the United States (55,867 tweets, 1,888 users) and Japan (63,863 tweets, 1,825 users). Consistent with their respective cultural affective values, U.S. users primarily produced positive (vs. negative) posts, whereas Japanese users primarily produced low (vs. high) arousal posts. Contrary to cultural affective values, however, U.S. users were more influenced by changes in others' high arousal negative (e.g., angry) posts, whereas Japanese were more influenced by changes in others' high arousal positive (e.g., excited) posts. These patterns held after controlling for differences in baseline exposure to affective content, and across different topics. Together, these results suggest that across cultures, while social media users primarily produce content that supports their affective values, they are more influenced by content that violates those values. These findings have implications for theories about which affective content spreads on social media, and for applications related to the optimal design and use of social media platforms around the world. (PsycInfo Database Record (c) 2021 APA, all rights reserved).",,Journal of Personality and Social Psychology,121,5,1,,"['pub.1007366775', 'pub.1061949282', 'pub.1044388700', 'pub.1010120204', 'pub.1042215605', 'pub.1050520477', 'pub.1124935679', 'pub.1034799136', 'pub.1005482053', 'pub.1016501724', 'pub.1104606648', 'pub.1026677759', 'pub.1085613304', 'pub.1041806083', 'pub.1100517383', 'pub.1034027587', 'pub.1025450790', 'pub.1004597347', 'pub.1040028598', 'pub.1027528419', 'pub.1009424447', 'pub.1105312538', 'pub.1034707529', 'pub.1070196039', 'pub.1043225244', 'pub.1000635265', 'pub.1020716656', 'pub.1052701159', 'pub.1016838534', 'pub.1050736537', 'pub.1091807455', 'pub.1050467464', 'pub.1084192373', 'pub.1018964213', 'pub.1101382661', 'pub.1022612975', 'pub.1036944638', 'pub.1033667663', 'pub.1090682550', 'pub.1031005455', 'pub.1128313739', 'pub.1048261392', 'pub.1002209688', 'pub.1028692626', 'pub.1026894234', 'pub.1061834506', 'pub.1110819882', 'pub.1045385618', 'pub.1020921726', 'pub.1051320536', 'pub.1049965128', 'pub.1036613769', 'pub.1020119024', 'pub.1063782823', 'pub.1048379153', 'pub.1046950855', 'pub.1086386202', 'pub.1023340916', 'pub.1012211797']"
65,What Arguments against COVID-19 Vaccines Run on Facebook in Poland: Content Analysis of Comments,"Dominik Wawrzuta, Mariusz Jaworski, Joanna Gotlib, Mariusz Panczyk",MDPI,2021-05-10,10.3390/vaccines9050481,pub.1137903816,"Social media allow anti-vaxxers to quickly spread misinformation and false statements. This situation may lead to an increase in vaccine hesitancy. We wanted to characterize what arguments against COVID-19 vaccines run on Facebook in Poland. We analyzed Facebook comments related to the five events of the introduction of COVID-19 vaccines-announcements of the efficacy of the Pfizer-BioNTech (09.11.2020), Moderna (16.11.2020), and AstraZeneca (23.11.2020) vaccines, registration of the Pfizer-BioNTech vaccine by the European Medicines Agency (21.12.2020), and the first vaccination in Poland (27.12.2020). We collected the comments from fanpages of the biggest Polish media and then established their main anti-vaccine themes. We found that the negative arguments about COVID-19 vaccines can be divided into 12 categories. Seven of them are universal and also apply to other vaccines but five are new and COVID-19' specific. The frequency of arguments from a given category varied over time. We also noticed that, while the comments were mostly negative, the reactions were positive. Created codebook of anti-vaccine COVID-19 arguments can be used to monitor the attitude of society towards COVID-19 vaccines. Real-time monitoring of social media is important because the popularity of certain arguments on Facebook changes rapidly over time.",We would like to thank Kamila Kraszewska for helping us categorize the comments.,Vaccines,9,5,8,,"['pub.1131878086', 'pub.1084822826', 'pub.1037880012', 'pub.1091432999', 'pub.1092563925', 'pub.1133344115', 'pub.1133368355', 'pub.1038622647', 'pub.1049988701', 'pub.1131095756', 'pub.1114071401', 'pub.1134685085', 'pub.1104510875', 'pub.1050332883', 'pub.1044104678', 'pub.1130072676', 'pub.1133083162', 'pub.1101622876', 'pub.1127233176', 'pub.1010472043', 'pub.1120912869', 'pub.1036409360', 'pub.1106342390', 'pub.1121091959', 'pub.1113711172', 'pub.1106186970', 'pub.1049703099', 'pub.1127234315', 'pub.1103662550', 'pub.1122698869', 'pub.1069286634', 'pub.1022179814', 'pub.1045112999', 'pub.1133438167', 'pub.1007695009', 'pub.1107721107', 'pub.1124097493', 'pub.1120706265', 'pub.1135785218', 'pub.1001670633', 'pub.1125116048', 'pub.1084169990', 'pub.1052148847', 'pub.1130153526', 'pub.1063722699']"
66,Using social and behavioural science to support COVID-19 pandemic response,"Jay J. Van Bavel, Katherine Baicker, Paulo S. Boggio, Valerio Capraro, Aleksandra Cichocka, Mina Cikara, Molly J. Crockett, Alia J. Crum, Karen M. Douglas, James N. Druckman, John Drury, Oeindrila Dube, Naomi Ellemers, Eli J. Finkel, James H. Fowler, Michele Gelfand, Shihui Han, S. Alexander Haslam, Jolanda Jetten, Shinobu Kitayama, Dean Mobbs, Lucy E. Napper, Dominic J. Packer, Gordon Pennycook, Ellen Peters, Richard E. Petty, David G. Rand, Stephen D. Reicher, Simone Schnall, Azim Shariff, Linda J. Skitka, Sandra Susan Smith, Cass R. Sunstein, Nassim Tabri, Joshua A. Tucker, Sander van der Linden, Paul van Lange, Kim A. Weeden, Michael J. A. Wohl, Jamil Zaki, Sean R. Zion, Robb Willer",Springer Nature,2020-04-30,10.1038/s41562-020-0884-z,pub.1127241292,"The COVID-19 pandemic represents a massive global health crisis. Because the crisis requires large-scale behaviour change and places significant psychological burdens on individuals, insights from the social and behavioural sciences can be used to help align human behaviour with the recommendations of epidemiologists and public health experts. Here we discuss evidence from a selection of research topics relevant to pandemics, including work on navigating threats, social and cultural influences on behaviour, science communication, moral decision-making, leadership, and stress and coping. In each section, we note the nature and quality of prior research, including uncertainty and unsettled issues. We identify several insights for effective response to the COVID-19 pandemic and highlight important gaps researchers should move quickly to fill in the coming weeks and months.",,Nature Human Behaviour,4,5,1857,"['Adaptation, Psychological', 'Betacoronavirus', 'COVID-19', 'Communicable Disease Control', 'Coronavirus', 'Coronavirus Infections', 'Decision Making', 'Epidemiological Monitoring', 'Global Health', 'Health Knowledge, Attitudes, Practice', 'Human Activities', 'Humans', 'Leadership', 'Pandemics', 'Pneumonia, Viral', 'Public Health', 'Quarantine', 'SARS-CoV-2', 'Social Media', 'Stress, Psychological']","['pub.1005286289', 'pub.1125441295', 'pub.1027448942', 'pub.1124028507', 'pub.1000612907', 'pub.1025155028', 'pub.1050501441', 'pub.1120904149', 'pub.1031843044', 'pub.1110531604', 'pub.1112642869', 'pub.1092069695', 'pub.1124171796', 'pub.1029097784', 'pub.1008126143', 'pub.1044203976', 'pub.1105010184', 'pub.1100723800', 'pub.1000345585', 'pub.1111564889', 'pub.1099599151', 'pub.1067669483', 'pub.1104283993', 'pub.1098686800', 'pub.1019422369', 'pub.1051325785', 'pub.1002913322', 'pub.1085319721', 'pub.1124649459', 'pub.1021595583', 'pub.1091295930', 'pub.1004502860', 'pub.1023950999', 'pub.1090877940', 'pub.1041727108', 'pub.1040135490', 'pub.1106036659', 'pub.1014266558', 'pub.1020995738', 'pub.1040618689', 'pub.1090279374', 'pub.1086386202', 'pub.1015211920', 'pub.1088044184', 'pub.1002373802', 'pub.1091026367', 'pub.1092276000', 'pub.1033518062', 'pub.1113045250', 'pub.1023087289', 'pub.1069757305', 'pub.1038926101', 'pub.1004564345', 'pub.1012104849', 'pub.1041935151', 'pub.1117287215', 'pub.1017907167', 'pub.1047138490', 'pub.1052188934', 'pub.1051231510', 'pub.1100424740', 'pub.1062620025', 'pub.1020428953', 'pub.1113155690', 'pub.1101164904', 'pub.1003553248', 'pub.1092726632', 'pub.1023433955', 'pub.1052824338', 'pub.1006009888', 'pub.1105578347', 'pub.1038465971', 'pub.1044445554', 'pub.1048380680', 'pub.1091158255', 'pub.1050982051', 'pub.1131742758', 'pub.1125784845', 'pub.1058544967', 'pub.1099637589', 'pub.1028251801', 'pub.1103978551', 'pub.1044994317', 'pub.1119866656', 'pub.1125748361', 'pub.1073455081', 'pub.1084130185', 'pub.1046076925', 'pub.1127670646', 'pub.1023257488', 'pub.1125116162', 'pub.1120342045', 'pub.1028911227', 'pub.1037366954', 'pub.1010107128', 'pub.1056437411', 'pub.1019551765', 'pub.1064530906', 'pub.1107801525', 'pub.1017077880', 'pub.1045385618', 'pub.1125550328', 'pub.1013632170', 'pub.1110628391', 'pub.1124246742', 'pub.1123233928', 'pub.1027682657', 'pub.1122478019', 'pub.1003879215', 'pub.1053156511', 'pub.1079062456', 'pub.1014017661', 'pub.1123826836', 'pub.1050493105', 'pub.1054025022', 'pub.1090559050', 'pub.1107799556', 'pub.1009707271', 'pub.1027294796', 'pub.1006172254', 'pub.1073340188', 'pub.1107129390', 'pub.1070837259', 'pub.1112075009', 'pub.1064218682', 'pub.1009613403', 'pub.1018514446', 'pub.1048194030', 'pub.1121006946', 'pub.1007507062', 'pub.1103703251', 'pub.1058362385', 'pub.1092359130', 'pub.1089663875', 'pub.1108042970', 'pub.1005248659', 'pub.1017429589', 'pub.1030938941', 'pub.1112761061', 'pub.1000491370', 'pub.1012903127', 'pub.1007268150', 'pub.1085941072', 'pub.1084242727', 'pub.1000400222', 'pub.1096996549', 'pub.1052192940', 'pub.1019036925', 'pub.1017765516', 'pub.1101559447', 'pub.1111751640', 'pub.1112738789', 'pub.1024093937', 'pub.1062627809', 'pub.1015462022', 'pub.1029185236', 'pub.1050082016', 'pub.1037685553', 'pub.1063904726', 'pub.1018683597', 'pub.1015686518', 'pub.1051839666', 'pub.1126993656', 'pub.1124583173', 'pub.1105374363', 'pub.1103856858', 'pub.1082446044', 'pub.1123830219', 'pub.1025756584', 'pub.1111917563', 'pub.1111308730', 'pub.1024190962', 'pub.1069767351', 'pub.1044727943', 'pub.1034295163', 'pub.1007281150', 'pub.1030682951', 'pub.1050084904', 'pub.1042099926', 'pub.1123960880', 'pub.1047221930', 'pub.1126123252', 'pub.1105238894', 'pub.1026818864', 'pub.1036730811', 'pub.1092003910', 'pub.1037215773', 'pub.1042789405', 'pub.1092186190', 'pub.1003156183', 'pub.1033943801', 'pub.1041832803', 'pub.1001798195', 'pub.1005929239', 'pub.1117478084', 'pub.1074211097', 'pub.1015923119', 'pub.1125323003', 'pub.1020458360', 'pub.1056368503', 'pub.1039239814', 'pub.1079400947', 'pub.1040661680', 'pub.1011958630', 'pub.1062460429', 'pub.1024656289', 'pub.1098740619', 'pub.1044792151', 'pub.1039652792', 'pub.1101170464', 'pub.1024898423', 'pub.1106945269', 'pub.1034884073', 'pub.1035115468', 'pub.1090866309', 'pub.1117477370', 'pub.1112736945', 'pub.1022497621', 'pub.1026252637', 'pub.1020619525']"
