,wordscore,matching_terms,mode_words,research,solution,tech,_doi,_title
60,2,"[('voice', 1)]","[('the', 8), ('more', 5), ('voice', 4), ('a', 4)]","[('research', 1), ('experiment', 1)]",[],"[('voice', 1)]",10.1002/ejsp.368,When the rich contribute more in public good dilemmas: the role of provision point level
61,4,"[('behavior', 1)]","[('is', 3), ('contributions', 3), ('the', 3), ('threshold', 3)]","[('recent', 1), ('predictions', 1), ('theoretical', 1), ('experiment', 1)]","[('increase', 1), ('decrease', 1)]","[('data', 1)]",10.1007/s10101-009-0069-8,Threshold uncertainty in discrete public good games: an experimental study
64,3,"[('prosocial', 1), ('social', 1)]","[('fear', 5), ('and', 5), ('by', 4), ('in', 4)]","[('mean', 1), ('suggest', 1), ('found', 1)]",[],"[('social', 1)]",10.1038/s41598-021-88663-0,Cooperation across multiple game theoretical paradigms is increased by fear more than anger in selfish individuals
66,2,"[('belief', 1), ('consumer', 1)]","[('the', 27), ('premium', 10), ('and', 7), ('an', 6)]","[('model', 1), ('impact', 1), ('study', 1), ('field', 1)]",[],[],10.1007/s11238-019-09732-5,The premium as informational cue in insurance decision making
67,4,"[('social', 1)]","[('and', 14), ('the', 12), ('to', 11), ('a', 10)]","[('assessment', 1), ('study', 1), ('analyze', 1), ('framework', 1)]",[],"[('data', 1), ('community', 1), ('social', 1)]",10.1016/j.ijdrr.2020.101977,A collaborative serious game for water resources planning and hazard mitigation
71,2,"[('social', 1), ('human', 1)]","[('in', 9), ('to', 8), ('the', 8), ('and', 6)]",[],"[('finding', 1), ('increase', 1)]","[('social', 1)]",10.1002/per.2139,"Social Value Orientation, Expectations, and Cooperation in Social Dilemmas: A Meta–Analysis"
72,2,"[('trust', 1)]","[('the', 16), ('and', 12), ('of', 8), ('in', 6)]","[('regression', 1), ('theoretical', 1), ('analysis', 1), ('modeling', 1)]",[],"[('data', 1)]",10.1111/ruso.12346,Trust or Control? The Role of Group Size in Governing Small‐scale Irrigation Facilities*
79,2,"[('behavior', 1), ('rated', 1)]","[('helping', 12), ('and', 8), ('of', 7), ('the', 6)]","[('model', 1), ('mean', 1), ('study', 1), ('research', 1)]",[],[],10.1002/job.772,The emergence of team helping norms: Foundations within members&#x27; attributes and behavior
83,5,"[('prosocial', 1), ('social', 1), ('trust', 1), ('behavior', 1)]","[('of', 11), ('the', 10), ('eyes', 9), ('and', 5)]","[('study', 1), ('recent', 1), ('suggest', 1), ('propose', 1)]","[('increase', 1)]","[('data', 1), ('social', 1)]",10.3390/g8020020,"Watching Eyes and Living up to Expectations: Unkind, Not Kind, Eyes Increase First Mover Cooperation in a Sequential Prisoner’s Dilemma"
84,2,"[('behavior', 1)]","[('the', 13), ('enterprise', 10), ('and', 9), ('green', 8)]","[('research', 1), ('study', 1), ('positive', 1)]",[],"[('data', 1)]",10.3390/bs12020035,Research on the Impact of Enterprise Green Development Behavior: A Meta-Analytic Approach
85,4,"[('social', 1), ('experience', 1)]","[('the', 20), ('of', 16), ('in', 11), ('we', 7)]","[('positive', 1), ('study', 1), ('negative', 1), ('test', 1)]",[],"[('data', 1), ('social', 1)]",10.2139/ssrn.3674980,Eclipses and the Memory of Revolutions: Evidence from China
88,4,"[('prosocial', 1), ('social', 1), ('behavior', 1)]","[('the', 6), ('in', 5), ('that', 5), ('a', 5)]","[('field', 1)]",[],"[('social', 1)]",10.1016/j.socec.2019.101510,Donations as an incentive for cooperation in public good games
90,4,"[('social', 1), ('consumer', 1)]","[('the', 22), ('and', 13), ('to', 9), ('in', 8)]","[('organize', 1), ('research', 1), ('assessment', 1), ('article', 1)]",[],"[('social', 1), ('community', 1)]",10.3390/su13020507,Collective Action with Altruists: How Are Citizens Led Renewable Energy Communities Developed?
94,3,"[('social', 1), ('behavior', 1)]","[('the', 12), ('of', 12), ('social', 8), ('climate', 6)]","[('impact', 1), ('negative', 1), ('framework', 1), ('positive', 1)]",[],"[('social', 1)]",10.1177/02761467211058083,A Strategic Marketing Framework for Emerging Out of the Climate Change Social Trap : The Case of the Fashion Industry
95,4,"[('social', 1), ('information', 1)]","[('of', 15), ('the', 14), ('and', 8), ('in', 6)]","[('found', 1), ('study', 1), ('interview', 1), ('analysis', 1)]",[],"[('data', 1), ('social', 1)]",10.1016/j.landurbplan.2015.10.006,"A network approach to assessing social capacity for landscape planning: The case of fire-prone forests in Oregon, USA"
96,4,"[('trust', 1), ('choice', 1), ('social', 1)]","[('and', 11), ('groups', 8), ('to', 7), ('their', 6)]","[('negative', 1), ('conventional', 1), ('positive', 1), ('experiment', 1)]",[],"[('social', 1)]",10.1016/j.cresp.2021.100016,"Motivational foundations of communication, voluntary cooperation, and self-governance in a common-pool resource dilemma"
98,3,"[('social', 1)]","[('de', 10), ('le', 7), ('à', 7), ('soutien', 6)]","[('study', 1), ('conventional', 1), ('found', 1), ('article', 1)]","[('increase', 1)]","[('social', 1)]",10.1002/cjas.1598,Whose autonomy support is more effective? Managers&#x27; or Co‐Workers’? An experimental comparison of source and occupational context on intrinsic motivation
100,2,"[('accuracy', 1), ('information', 1)]","[('of', 8), ('the', 8), ('competence', 8), ('information', 7)]","[('argue', 1), ('negative', 1), ('experiment', 1)]",[],[],10.1371/journal.pone.0201180,"If it doesn’t help, it doesn’t hurt? Information elaboration harms the performance of gender-diverse teams when attributions of competence are inaccurate"
102,2,"[('behavior', 1), ('social', 1), ('belief', 1), ('human', 1)]","[('in', 6), ('uncertainty', 5), ('that', 5), ('group', 4)]","[('suggest', 1), ('recent', 1)]",[],"[('social', 1)]",10.2139/ssrn.3193594,Social Value Orientation and Group Size Uncertainty in Public Good Dilemmas
103,5,"[('social', 1), ('experience', 1), ('behavior', 1), ('information', 1)]","[('interdependence', 11), ('and', 11), ('of', 9), ('in', 7)]","[('model', 1), ('study', 1), ('framework', 1), ('recent', 1)]",[],"[('social', 1)]",10.1037/pspp0000166,How Do People Think About Interdependence? A Multidimensional Model of Subjective Outcome Interdependence
106,2,"[('design', 1), ('social', 1), ('trust', 1), ('information', 1)]","[('the', 19), ('of', 16), ('and', 11), ('to', 9)]","[('model', 1), ('semantic', 1), ('control', 1)]",[],"[('social', 1)]",10.1075/z.230,Coherence
108,3,"[('choice', 1), ('social', 1)]","[('the', 9), ('and', 6), ('a', 5), ('promises', 5)]","[('model', 1), ('positive', 1), ('predictions', 1), ('experiment', 1)]",[],"[('social', 1)]",10.1016/j.jpubeco.2015.03.008,Selection vs. accountability: An experimental investigation of campaign promises in a moral-hazard environment
