,wordscore,most_freq_target_words,most_freq_all_words,study_design_hunch,impact_of_study_hunch,tech_words_freq,_doi,_title
25,2,"[('behavior', 1), ('human', 1)]","[('and', 6), ('in', 5), ('of', 4), ('as', 3)]","[('research', 1), ('positive', 1), ('review', 1)]",[],[],10.1016/j.appet.2021.105726,Monitoring a meat-free pledge with smartphones: An experimental study
26,3,[],"[('of', 8), ('the', 7), ('in', 7), ('tasks', 6)]","[('analysis', 1), ('intervention', 1), ('field', 1), ('overall', 1)]","[('intervention', 1), ('increase', 1)]","[('data', 1)]",10.1007/s42822-020-00043-x,Going Green: A Systematic Review of Proenvironmental Empirical Research in Behavior Analysis
27,3,"[('behavior', 1), ('boost', 1)]","[('and', 6), ('in', 6), ('technologies', 4), ('to', 4)]","[('research', 1), ('impact', 1)]",[],"[('digital', 1)]",10.3390/su14042025,Speaking Their Language: Does Environmental Signage Align to Personal Dimensions of Environmentally Responsible Behavior in Undergraduate Residence Halls?
28,3,"[('behavior', 1), ('social', 1)]","[('the', 8), ('of', 7), ('in', 6), ('a', 6)]","[('recent', 1), ('analysis', 1), ('review', 1), ('field', 1)]",[],"[('social', 1)]",10.1016/j.jenvman.2021.114160,Recycling behaviour: Mapping knowledge domain through bibliometrics and text mining
29,5,"[('design', 1), ('social', 1), ('trust', 1)]","[('and', 5), ('behaviors', 5), ('social', 4), ('pro-environmental', 4)]","[('meta-analysis', 1), ('suggest', 1)]",[],"[('like', 1), ('social', 1)]",10.1016/j.resconrec.2021.105808,Could visual cues moderate the normative influence in promoting energy conservation? A perspective from the construal level
30,2,"[('social', 1)]","[('the', 10), ('a', 8), ('and', 7), ('to', 6)]",[],[],"[('social', 1)]",10.1016/j.erss.2021.101958,Positive reinforcement is just the beginning: Associative learning principles for energy efficiency and climate sustainability
32,4,"[('consumer', 1), ('social', 1)]","[('the', 27), ('of', 17), ('and', 7), ('a', 6)]","[('analysis', 1), ('theoretical', 1), ('research', 1), ('review', 1)]",[],"[('content', 1), ('social', 1)]",10.1109/icccn52240.2021.9522340,Blockchain-enabled Personalized Incentives for Sustainable Behavior in Smart Cities
33,5,"[('information', 1), ('design', 1), ('architecture', 1)]","[('the', 7), ('to', 6), ('feedback', 6), ('drivers', 5)]","[('theoretical', 1), ('research', 1), ('field', 1), ('impact', 1)]","[('decrease', 1)]","[('recommendation', 1)]",10.1007/s42822-020-00043-x,Going Green: A Systematic Review of Proenvironmental Empirical Research in Behavior Analysis
35,3,"[('information', 1)]","[('of', 10), ('to', 7), ('the', 6), ('energy', 6)]","[('outline', 1), ('review', 1)]",[],"[('like', 1), ('reach', 1)]",10.3390/su132011349,Collective Public Commitment: Young People on the Path to a More Sustainable Lifestyle
36,2,"[('design', 1)]","[('of', 8), ('and', 5), ('suggestive', 4), ('selling', 4)]","[('research', 1), ('positive', 1), ('theoretical', 1), ('impact', 1)]",[],"[('data', 1)]",10.1007/978-981-16-4230-2_52,Integrated Strategy of Plastic Waste Management to Green Environmental Sustainability and Health Care
37,3,"[('behavior', 1), ('attentional', 1)]","[('the', 9), ('to', 6), ('reminders', 5), ('plastic', 5)]","[('intervention', 1), ('experiment', 1), ('study', 1), ('field', 1)]","[('intervention', 1)]",[],10.1111/ijcs.12638,Littering behaviour: A systematic review
38,4,"[('interface', 1), ('information', 1), ('consumer', 1), ('design', 1)]","[('and', 14), ('the', 8), ('to', 6), ('housing', 5)]","[('analysis', 1)]",[],"[('community', 1), ('data', 1)]",10.1007/s10799-021-00352-6,Sustainable behavior in motion: designing mobile eco-driving feedback information systems
39,2,"[('behavior', 1)]","[('to', 5), ('’', 3), ('the', 3), ('consumers', 2)]","[('intervention', 1)]","[('intervention', 1)]",[],10.1016/j.rtbm.2020.100549,"Walkability, accessibility to metro stations and retail location choice: Some evidence from the case study of Naples"
41,7,"[('information', 1), ('consumer', 1), ('attitudinal', 1), ('behavior', 1)]","[('of', 9), ('and', 9), ('the', 8), ('a', 8)]","[('analysis', 1), ('theoretical', 1), ('framework', 1), ('survey', 1)]",[],"[('social', 1), ('data', 1)]",10.1080/15534510.2022.2047776,Self-persuading norms: Adding a self-persuasion technique strengthens the influence of descriptive social norms
44,2,"[('users', 1)]","[('the', 20), ('in', 10), ('of', 8), ('energy', 8)]","[('analysis', 1), ('analyze', 1), ('survey', 1), ('review', 1)]","[('increase', 1)]",[],10.1016/j.jeem.2021.102539,Choose to reuse! The effect of action-close reminders on pro-environmental behavior
45,3,"[('behavior', 1)]","[('the', 7), ('of', 7), ('behavior', 6), ('and', 4)]","[('analysis', 1), ('intervention', 1), ('follow-up', 1), ('review', 1)]","[('intervention', 1), ('increase', 1)]",[],10.1080/1360080x.2022.2027611,Greening on-campus housing: blending commercial and higher education contexts
46,4,"[('behavior', 1), ('design', 1), ('social', 1)]","[('the', 19), ('in', 11), ('to', 9), ('of', 9)]","[('analysis', 1), ('found', 1), ('research', 1), ('review', 1)]",[],"[('social', 1)]",10.1177/1420326x19897965,Housing structure and occupant behaviour to increase the environmental and health co-benefits of housing: Insights from expert interviews in New Zealand
53,2,"[('behavior', 1), ('social', 1), ('human', 1)]","[('usepackage', 42), ('the', 13), ('of', 12), ('document', 12)]",[],[],"[('social', 1), ('reach', 1)]",10.3390/en15062279,Qualitative Analysis of Household Energy Awareness in Poland
55,2,"[('social', 1), ('choice', 1)]","[('the', 10), ('svo', 8), ('gdd', 7), ('of', 6)]","[('difference', 1), ('found', 1), ('overall', 1), ('questionnaire', 1)]","[('finding', 1)]","[('like', 1), ('social', 1)]",10.1080/10962247.2020.1823524,Behavioral aspects of solid waste management: A systematic review
61,3,"[('behavior', 1), ('altruism', 1), ('prosocial', 1)]","[('of', 9), ('the', 6), ('motives', 4), ('and', 4)]","[('analysis', 1)]",[],[],10.1037/pspi0000389,Cross-Cultural Variation in Cooperation: A Meta-Analysis
63,2,"[('human', 1)]","[('the', 14), ('of', 8), ('cooperation', 6), ('and', 5)]","[('positive', 1), ('theoretical', 1)]","[('finding', 1)]",[],10.1037/pspi0000389,Cross-Cultural Variation in Cooperation: A Meta-Analysis
72,2,[],"[('the', 15), ('that', 11), ('to', 11), ('of', 8)]","[('research', 1), ('propose', 1), ('suggest', 1)]","[('finding', 1)]","[('reach', 1)]",10.1016/j.amc.2022.127069,"Effects of interconnections among corruption, institutional punishment, and economic factors on the evolution of cooperation"
78,3,"[('altruism', 1)]","[('the', 12), ('of', 9), ('a', 8), ('contest', 7)]","[('article', 1)]","[('decrease', 1), ('increase', 1)]",[],10.1037/dec0000178,Unpacking the Black Box: How Inter- and Intra-Team Forces Motivate Team Rationality
85,2,"[('social', 1)]","[('the', 17), ('to', 7), ('and', 7), ('of', 7)]","[('control', 1), ('propose', 1), ('impact', 1)]",[],"[('social', 1)]",10.1016/j.physa.2022.126972,Asymmetric games on networks: Towards an Ising-model representation
87,3,"[('information', 1)]","[('the', 7), ('a', 6), ('we', 5), ('of', 5)]","[('model', 1)]","[('decrease', 1), ('increase', 1)]",[],10.1016/j.jebo.2021.05.017,The evolutionary stability of in-group altruism in productive and destructive group contests
88,2,"[('social', 1)]","[('of', 4), ('actions', 4), ('and', 4), ('for', 3)]","[('theoretical', 1)]",[],"[('social', 1)]",10.1037/pspi0000389,Cross-Cultural Variation in Cooperation: A Meta-Analysis
90,2,"[('social', 1)]","[('to', 8), ('the', 8), ('’', 7), ('and', 6)]","[('research', 1), ('experiment', 1), ('subjects', 1)]",[],"[('social', 1)]",10.3389/fpsyg.2022.800701,Incidental Emotions and Cooperation in a Public Goods Game
91,6,"[('choice', 1), ('human', 1), ('behavior', 1), ('social', 1)]","[('conflict', 8), ('intergroup', 7), ('the', 6), ('as', 6)]","[('found', 1), ('research', 1), ('propose', 1)]",[],"[('social', 1)]",10.1037/pspi0000389,Cross-Cultural Variation in Cooperation: A Meta-Analysis
92,4,"[('information', 1), ('social', 1)]","[('of', 13), ('the', 9), ('threshold', 7), ('and', 6)]","[('tested', 1), ('experiment', 1), ('impact', 1), ('framework', 1)]","[('increase', 1)]","[('social', 1)]",10.1007/978-3-030-91532-2_6,Finally Back to Campus? Motivations for Facemask Adoption in the Higher Education Sector
93,2,"[('fake', 1), ('choice', 1)]","[('inauthenticity', 7), ('to', 7), ('and', 7), ('the', 6)]","[('research', 1), ('positive', 1), ('control', 1), ('study', 1)]",[],[],10.1037/pspi0000389,Cross-Cultural Variation in Cooperation: A Meta-Analysis
96,5,"[('behavior', 1), ('design', 1), ('social', 1), ('nudge', 1)]","[('the', 12), ('to', 7), ('in', 6), ('a', 5)]","[('experiment', 1), ('overall', 1), ('subjects', 1), ('impact', 1)]",[],"[('social', 1)]",10.1016/j.geb.2022.02.008,Communication and cooperation in Prisoner&#x27;s Dilemma games
97,2,"[('social', 1)]","[('the', 7), ('and', 7), ('of', 6), ('to', 4)]","[('research', 1), ('tested', 1)]",[],"[('social', 1)]",10.1080/10413200.2021.2021564,Effects of a multifaceted team goal-setting intervention for youth volleyball teams
98,5,"[('behavior', 1), ('design', 1), ('social', 1), ('nudge', 1)]","[('the', 12), ('to', 7), ('in', 6), ('a', 5)]","[('experiment', 1), ('overall', 1), ('subjects', 1), ('impact', 1)]",[],"[('social', 1)]",10.1177/00027642211066024,Theoretical Notes on Action Schemes in Society
