,wordscore,matching_terms,mode_words,research,solution,tech,_doi,_title
23,5,"[('behavior', 1), ('prosocial', 1), ('social', 1)]","[('to', 7), ('of', 7), ('and', 6), ('the', 5)]","[('research', 1), ('recent', 1), ('positive', 1), ('analysis', 1)]",[],"[('community', 1), ('social', 1)]",10.1177/104973159300300405,Behavior Analysis and Community Practice
24,-5,"[('design', 1), ('behavior', 1)]","[('the', 26), ('of', 9), ('to', 8), ('cultural', 8)]","[('suggest', 1), ('field', 1), ('study', 1), ('analysis', 1)]",[],"[('community', 1), ('data', 1)]",10.1007/s42822-019-00019-6,Solid Waste Management: Planning and Implementation of a Cultural Design
25,5,"[('behavior', 1), ('users', 1), ('information', 1), ('social', 1)]","[('the', 10), ('to', 8), ('on', 7), ('communication', 6)]","[('field', 1), ('study', 1)]",[],"[('social', 1)]",10.1016/j.wasman.2014.01.006,"The comparative effectiveness of persuasion, commitment and leader block strategies in motivating sorting"
26,-5,"[('behavior', 1)]","[('the', 8), ('of', 5), ('to', 4), ('a', 3)]","[('suggest', 1)]",[],[],10.1590/s0034-89101990000500008,Controle dos resíduos sólidos com envolvimento de população de baixa renda
27,4,"[('accuracy', 1), ('social', 1)]","[('the', 24), ('to', 14), ('of', 13), ('and', 12)]","[('control', 1), ('regression', 1), ('found', 1), ('study', 1)]",[],"[('data', 1), ('social', 1)]",10.1002/nvsm.280,The nature and influence of motivation within the MOA framework: implications for social marketing
28,0,[],[],[],[],[],10.4337/9781786432834.00017,A virtuous cycle: how green companies grow green employees (and vice versa)
29,5,"[('design', 1), ('user', 1)]","[('to', 6), ('the', 6), ('signs', 6), ('in', 5)]","[('research', 1), ('follow-up', 1), ('study', 1)]","[('finding', 1), ('increase', 1)]","[('user', 1)]",10.1016/j.apergo.2011.09.008,Please turn off the lights: The effectiveness of visual prompts
30,1,"[('behavior', 1)]","[('and', 9), ('to', 5), ('of', 5), ('safety', 4)]","[('analysis', 1), ('article', 1), ('research', 1), ('model', 1)]",[],[],10.1016/j.jsr.2007.03.010,Exploring the role of emotional intelligence in behavior-based safety coaching
31,6,"[('behavior', 1), ('user', 1), ('interface', 1)]","[('the', 16), ('of', 8), ('to', 7), ('energy', 7)]","[('research', 1), ('theoretical', 1), ('field', 1), ('intervention', 1)]","[('intervention', 1)]","[('data', 1), ('user', 1)]",10.3390/su10061744,A Smartphone Application for Personalized and Multi-Method Interventions toward Energy Saving in Buildings
32,2,"[('behavior', 1)]","[('the', 6), ('of', 6), ('and', 5), ('behavior', 4)]","[('analysis', 1), ('research', 1), ('intervention', 1)]","[('intervention', 1)]",[],10.5210/bsi.v13i1.33,Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
33,0,[],[],[],[],[],10.1007/978-1-4684-3692-1_4,Controlling the Litter Problem
34,2,"[('behavior', 1)]","[('the', 6), ('of', 6), ('and', 5), ('behavior', 4)]","[('analysis', 1), ('research', 1), ('intervention', 1)]","[('intervention', 1)]",[],10.5210/bsi.v13i1.33,Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
35,3,"[('behavior', 1), ('attitudinal', 1)]","[('and', 9), ('the', 7), ('in', 6), ('were', 5)]","[('found', 1), ('positive', 1), ('overall', 1)]",[],"[('data', 1)]",10.5467/jkess.2007.28.5.635,"An Application of Affective-Cognitive Ambivalence Theory in Environmental Risk Attitude: The Case Study of Marion County, Ohio in the U.S."
36,1,"[('behavior', 1)]","[('the', 13), ('of', 11), ('littering', 9), ('behavior', 4)]","[('article', 1), ('modeling', 1), ('study', 1)]",[],[],10.1177/0013916511412179,Littering in Context
37,1,[],"[('the', 5), ('of', 4), ('conclusion', 4), ('messages', 4)]","[('research', 1), ('review', 1)]",[],"[('recommendation', 1)]",10.1080/00028533.1997.11978023,Standpoint Explicitness and Persuasive Effect: A Meta-Analytic Review of the Effects of Varying Conclusion Articulation in Persuasive Messages
38,2,"[('design', 1), ('experience', 1)]","[('the', 10), ('energy', 7), ('eco-driving', 6), ('consumption', 6)]","[('research', 1), ('intervention', 1), ('found', 1), ('field', 1)]","[('intervention', 1)]","[('web', 1), ('data', 1)]",10.1016/j.erss.2019.101407,"Can electric vehicle drivers be persuaded to eco-drive? A field study of feedback, gamification and financial rewards in Germany"
39,1,[],"[('the', 14), ('of', 8), ('bse', 5), ('to', 3)]","[('pattern', 1), ('control', 1), ('overall', 1), ('intervention', 1)]","[('intervention', 1)]",[],10.1016/s0005-7894(87)80037-0,Breast self-examination: The effects of personalized prompts on practice frequency
40,3,"[('information', 1), ('social', 1)]","[('coaching', 8), ('a', 5), ('the', 5), ('in', 5)]","[('research', 1), ('study', 1)]",[],"[('social', 1)]",10.1037/cpb0000046,"IDENTITY CONSTRUCTION IN COACHING: SCHEMAS, INFORMATION PROCESSING, AND GOAL COMMITMENT"
41,0,[],"[('the', 6), ('that', 4), ('to', 4), ('we', 4)]","[('field', 1), ('experiment', 1)]",[],[],10.2139/ssrn.2100372,The Power of a Bad Example – A Field Experiment In Household Garbage Disposal
42,5,"[('users', 1), ('behavior', 1), ('user', 1)]","[('to', 7), ('the', 6), ('of', 5), ('in', 4)]","[('control', 1), ('overall', 1)]","[('increase', 1)]","[('user', 1)]",10.1080/01490408309513014,Increasing public involvement to reduce depreciative behavior in recreation settings
43,1,[],"[('the', 16), ('of', 10), ('in', 6), ('waste', 6)]","[('study', 1), ('survey', 1)]",[],"[('like', 1)]",10.3390/su11226496,Survey on Household Solid Waste Sorting at Source in Developing Economies: A Case Study of Nur-Sultan City in Kazakhstan
44,0,[],[],[],[],[],10.21019/9781582121802,Motivational Interviewing for Health Care Professionals: A Sensible Approach
45,0,[],"[('the', 12), ('in', 7), ('a', 6), ('condition', 6)]","[('control', 1), ('result', 1), ('study', 1)]",[],[],10.1177/0013916505276744,An Examination of the Effects of Delayed Versus Immediate Prompts on Safety Belt Use
46,1,"[('behavior', 1), ('information', 1), ('social', 1)]","[('the', 10), ('to', 7), ('energy', 3), ('programs', 3)]","[('research', 1), ('article', 1), ('model', 1)]",[],"[('social', 1)]",10.1037/0003-066x.45.10.1109,Effective Dissemination of Energy-Related Information
47,1,"[('behavior', 1)]","[('the', 10), ('behaviors', 6), ('that', 6), ('of', 5)]","[('intervention', 1), ('found', 1), ('study', 1)]","[('intervention', 1), ('increase', 1)]","[('community', 1)]",10.3390/su10030809,The Post-Intervention Persistence of Energy Conservation Behaviors: An Evaluation of the ‘Start Green’ Program
48,4,"[('media', 1), ('behavior', 1), ('attitudinal', 1)]","[('of', 9), ('energy', 8), ('the', 7), ('in', 4)]","[('research', 1), ('impact', 1)]",[],"[('media', 1)]",10.1080/00958964.1987.9942737,Communication and Energy Conservation
49,4,[],"[('and', 16), ('the', 13), ('gravel', 11), ('of', 9)]","[('functional', 1), ('found', 1), ('study', 1)]","[('decrease', 1), ('increase', 1)]","[('community', 1), ('content', 1)]",10.1016/j.catena.2021.105933,Top-down degradation of alpine meadow in the Qinghai-Tibetan Plateau: Gravelization initiate hillside surface aridity and meadow community disappearance
50,2,"[('behavior', 1)]","[('the', 6), ('of', 6), ('and', 5), ('behavior', 4)]","[('analysis', 1), ('research', 1), ('intervention', 1)]","[('intervention', 1)]",[],10.5210/bsi.v13i1.33,Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
51,6,"[('design', 1), ('behavior', 1), ('social', 1), ('attitudinal', 1)]","[('and', 13), ('of', 6), ('environmental', 6), ('the', 5)]","[('research', 1), ('modeling', 1), ('intervention', 1), ('study', 1)]","[('intervention', 1)]","[('social', 1)]",10.1111/j.1540-4560.1989.tb01531.x,Applied Behavior Analysis and Social Marketing: An Integration for Environmental Preservation
52,4,"[('design', 1), ('behavior', 1)]","[('use', 6), ('energy', 6), ('of', 5), ('for', 5)]","[('functional', 1), ('pattern', 1), ('research', 1), ('control', 1)]","[('intervention', 1), ('increase', 1)]",[],10.1002/bin.1463,Examination of a Multi‐Element Intervention on College Students&#x27; Electricity Consumption in On‐Campus Housing
53,2,"[('information', 1)]","[('information', 13), ('the', 10), ('of', 7), ('and', 7)]","[('intervention', 1), ('field', 1), ('controlled', 1), ('study', 1)]","[('intervention', 1)]",[],10.1016/j.scs.2020.102344,Evaluating the effect of eight customized information strategies on urban households’ electricity saving: A field experiment in China
54,1,"[('behavior', 1)]","[('behavior', 5), ('the', 3), ('conservation', 3), ('of', 3)]","[('research', 1), ('theoretical', 1), ('framework', 1)]",[],[],10.1111/j.1540-4560.1981.tb02627.x,Approaches to Encouraging Conservation Behavior: A Review and Conceptual Framework
55,3,"[('behavior', 1)]","[('the', 12), ('interventions', 7), ('behavior', 7), ('of', 6)]","[('research', 1), ('article', 1), ('review', 1), ('intervention', 1)]","[('intervention', 1), ('finding', 1)]",[],10.1177/0013916595272002,Solid Waste Recovery
56,3,"[('behavior', 1), ('social', 1)]","[('in', 6), ('a', 5), ('attitude', 5), ('attitude-relevant', 5)]","[('research', 1), ('found', 1), ('experiment', 1)]",[],"[('social', 1)]",10.1080/00224545.2014.959884,The Campbell Paradigm as a Conceptual Alternative to the Expectation of Hypocrisy in Contemporary Attitude Research
57,1,"[('human', 1)]","[('the', 13), ('and', 8), ('of', 5), ('that', 5)]",[],[],[],10.1007/978-3-030-90590-3_2,Viewpoints on Human Rights from the Global South
58,0,[],"[('is', 7), ('punishment', 7), ('the', 7), ('and', 6)]","[('study', 1)]",[],[],10.1111/ecin.12713,LINKING WEALTH AND PUNISHMENT EFFECTIVENESS: PUNISHMENT AND COOPERATION UNDER CONGRUENT HETEROGENEITIES
59,-2,"[('behavior', 1)]","[('and', 9), ('in', 6), ('the', 6), ('a', 5)]","[('predictions', 1), ('overall', 1), ('study', 1), ('experiment', 1)]",[],[],10.1016/j.joep.2017.03.009,Emotional Leadership in an Intergroup Conflict Game Experiment
60,2,"[('voice', 1)]","[('the', 8), ('more', 5), ('voice', 4), ('a', 4)]","[('research', 1), ('experiment', 1)]",[],"[('voice', 1)]",10.1002/ejsp.368,When the rich contribute more in public good dilemmas: the role of provision point level
61,4,"[('behavior', 1)]","[('is', 3), ('contributions', 3), ('the', 3), ('threshold', 3)]","[('recent', 1), ('test', 1), ('predictions', 1), ('subjects', 1)]","[('decrease', 1), ('increase', 1)]","[('data', 1)]",10.1007/s10101-009-0069-8,Threshold uncertainty in discrete public good games: an experimental study
62,0,[],[],[],[],[],10.1007/978-0-387-72596-3_16,Toward a Comprehensive Model of Social Dilemmas
63,-1,"[('social', 1)]","[('of', 11), ('pmi', 10), ('the', 8), ('and', 8)]","[('model', 1), ('framework', 1)]",[],"[('social', 1)]",10.1108/s1479-361x20170000016008,Dissecting Post-Merger Integration Risk: The PMI Risk Framework
64,3,"[('prosocial', 1), ('social', 1)]","[('fear', 5), ('and', 5), ('by', 4), ('in', 4)]","[('found', 1), ('mean', 1), ('suggest', 1)]",[],"[('social', 1)]",10.1038/s41598-021-88663-0,Cooperation across multiple game theoretical paradigms is increased by fear more than anger in selfish individuals
65,-3,[],"[('a', 7), ('to', 5), ('we', 4), ('of', 3)]",[],[],[],10.1016/j.jet.2020.105024,Promises and endogenous reneging costs
66,2,"[('belief', 1), ('consumer', 1)]","[('the', 27), ('premium', 10), ('and', 7), ('an', 6)]","[('impact', 1), ('field', 1), ('study', 1), ('analysis', 1)]",[],[],10.1007/s11238-019-09732-5,The premium as informational cue in insurance decision making
67,4,"[('social', 1)]","[('and', 14), ('the', 12), ('to', 11), ('a', 10)]","[('analyze', 1), ('assessment', 1), ('study', 1), ('framework', 1)]",[],"[('community', 1), ('social', 1), ('data', 1)]",10.1016/j.ijdrr.2020.101977,A collaborative serious game for water resources planning and hazard mitigation
68,0,[],[],[],[],[],10.1093/oep/gpv048,Non-binding agreements in public goods experiments
69,0,"[('social', 1)]","[('and', 8), ('that', 6), ('teams', 5), ('the', 5)]","[('found', 1)]",[],"[('data', 1), ('social', 1)]",10.1037/a0038315,Overcoming Asymmetric Goals in Teams: The Interactive Roles of Team Learning Orientation and Team Identification
70,0,[],[],[],[],[],10.3917/mard.demou.2020.01.0377,Références bibliographiques
71,2,"[('human', 1), ('social', 1)]","[('in', 9), ('to', 8), ('the', 8), ('and', 6)]",[],"[('finding', 1), ('increase', 1)]","[('social', 1)]",10.1002/per.2139,"Social Value Orientation, Expectations, and Cooperation in Social Dilemmas: A Meta–Analysis"
72,2,"[('trust', 1)]","[('the', 16), ('and', 12), ('of', 8), ('in', 6)]","[('regression', 1), ('control', 1), ('modeling', 1), ('analysis', 1)]",[],"[('data', 1)]",10.1111/ruso.12346,Trust or Control? The Role of Group Size in Governing Small‐scale Irrigation Facilities*
73,0,"[('behavior', 1), ('social', 1)]","[('the', 6), ('in', 6), ('cooperation', 5), ('framing', 4)]","[('suggest', 1), ('found', 1), ('positive', 1), ('study', 1)]",[],"[('social', 1)]",10.1016/j.joep.2016.04.003,Outcome valence and externality valence framing in public good dilemmas
74,0,[],"[('the', 8), ('of', 7), ('and', 7), ('pair', 5)]","[('study', 1), ('suggest', 1)]",[],[],10.1142/s1363919620500723,PAIRS IN INNOVATION: HOW WORKING IN PAIRS HELPS ORGANISATIONS TO MOVE INTO A NEW SHARED DIRECTION
75,0,[],[],[],[],[],10.1007/978-3-319-19650-3_3060,Charity
76,0,"[('altruism', 1), ('human', 1), ('behavior', 1)]","[('the', 17), ('reciprocity', 13), ('of', 11), ('indirect', 5)]","[('found', 1), ('model', 1)]",[],[],10.1007/s10015-018-0486-2,Evolution of four forms of reciprocity in the prisoner’s dilemma game
77,-3,[],"[('the', 10), ('members', 5), ('intragroup', 5), ('in', 4)]","[('research', 1), ('impact', 1), ('study', 1)]",[],[],10.1177/1368430220910795,The conflict-cooperation effect persists under intragroup payoff asymmetry
78,0,[],"[('temporal', 6), ('to', 6), ('of', 5), ('the', 5)]","[('study', 1)]",[],[],10.1016/j.obhdp.2020.06.002,Anticipated temporal landmarks undermine motivation for continued goal pursuit
79,2,"[('rated', 1), ('behavior', 1)]","[('helping', 12), ('and', 8), ('of', 7), ('the', 6)]","[('research', 1), ('test', 1), ('propose', 1), ('study', 1)]",[],[],10.1002/job.772,The emergence of team helping norms: Foundations within members&#x27; attributes and behavior
80,-3,"[('human', 1), ('social', 1)]","[('the', 12), ('of', 10), ('in', 7), ('being', 7)]","[('recent', 1), ('impact', 1), ('modeling', 1), ('suggest', 1)]",[],"[('social', 1)]",10.1101/2020.10.26.354704,The selfish nature in interpersonal exchange among adolescents: imposing the kind and submitting to the exploitative
81,0,[],"[('the', 8), ('in', 4), ('we', 3), ('of', 3)]","[('test', 1), ('predictions', 1), ('positive', 1), ('negative', 1)]",[],[],10.1111/jpet.12359,Impulse balance and framing effects in threshold public good games
82,0,[],"[('the', 10), ('and', 5), ('of', 4), ('ec', 3)]",[],[],[],10.2139/ssrn.1161108,Fighting Cartels: Some Economics of Council Regulation (EC) 1/2003
83,5,"[('boost', 1), ('trust', 1), ('behavior', 1), ('social', 1)]","[('of', 11), ('the', 10), ('eyes', 9), ('and', 5)]","[('recent', 1), ('control', 1), ('propose', 1), ('suggest', 1)]","[('increase', 1)]","[('data', 1), ('social', 1)]",10.3390/g8020020,"Watching Eyes and Living up to Expectations: Unkind, Not Kind, Eyes Increase First Mover Cooperation in a Sequential Prisoner’s Dilemma"
84,2,"[('behavior', 1)]","[('the', 13), ('enterprise', 10), ('and', 9), ('green', 8)]","[('research', 1), ('positive', 1), ('study', 1)]",[],"[('data', 1)]",10.3390/bs12020035,Research on the Impact of Enterprise Green Development Behavior: A Meta-Analytic Approach
85,4,"[('experience', 1), ('social', 1)]","[('the', 20), ('of', 16), ('in', 11), ('we', 7)]","[('negative', 1), ('test', 1), ('positive', 1), ('study', 1)]",[],"[('data', 1), ('social', 1)]",10.2139/ssrn.3674980,Eclipses and the Memory of Revolutions: Evidence from China
86,-3,[],"[('and', 13), ('the', 13), ('of', 8), ('for', 6)]","[('negative', 1), ('positive', 1), ('study', 1)]",[],[],10.1016/j.leaqua.2011.10.001,Strategies for leader cognition: Viewing the glass “half full” and “half empty”
87,0,[],"[('and', 6), ('in', 6), ('a', 4), ('competitiveness', 4)]","[('negative', 1), ('overall', 1)]",[],[],10.1016/j.socec.2015.09.003,Cooperativeness and competitiveness in children
88,4,"[('behavior', 1), ('prosocial', 1), ('social', 1)]","[('the', 6), ('in', 5), ('that', 5), ('a', 5)]","[('field', 1)]",[],"[('social', 1)]",10.1016/j.socec.2019.101510,Donations as an incentive for cooperation in public good games
89,0,[],"[('the', 13), ('mechanism', 8), ('can', 7), ('in', 6)]","[('measure', 1), ('subjects', 1)]",[],[],10.1007/s10683-014-9392-1,Gunning for efficiency with third party enforcement in threshold public goods
90,4,"[('consumer', 1), ('social', 1)]","[('the', 22), ('and', 13), ('to', 9), ('in', 8)]","[('research', 1), ('article', 1), ('assessment', 1), ('organize', 1)]",[],"[('community', 1), ('social', 1)]",10.3390/su13020507,Collective Action with Altruists: How Are Citizens Led Renewable Energy Communities Developed?
91,1,"[('bias', 1)]","[('teams', 7), ('of', 5), ('team', 5), ('that', 4)]","[('research', 1), ('field', 1), ('study', 1), ('result', 1)]",[],[],10.1177/1046496415616865,Impact of Team (Dis)satisfaction and Psychological Safety on Performance Evaluation Biases
92,-1,"[('behavior', 1), ('bias', 1)]","[('the', 6), ('vaccination', 5), ('from', 5), ('to', 4)]","[('impact', 1), ('overall', 1), ('suggest', 1), ('controlled', 1)]",[],[],10.1016/j.jebo.2015.11.008,Selfish-rational non-vaccination: Experimental evidence from an interactive vaccination game
93,0,[],[],[],[],[],10.4324/9781315171371-1,Creating Social Psychology
94,3,"[('behavior', 1), ('social', 1)]","[('the', 12), ('of', 12), ('social', 8), ('climate', 6)]","[('research', 1), ('impact', 1), ('positive', 1), ('negative', 1)]",[],"[('social', 1)]",10.1177/02761467211058083,A Strategic Marketing Framework for Emerging Out of the Climate Change Social Trap : The Case of the Fashion Industry
95,4,"[('information', 1), ('social', 1)]","[('of', 15), ('the', 14), ('and', 8), ('in', 6)]","[('analysis', 1), ('found', 1), ('study', 1), ('interview', 1)]",[],"[('data', 1), ('social', 1)]",10.1016/j.landurbplan.2015.10.006,"A network approach to assessing social capacity for landscape planning: The case of fire-prone forests in Oregon, USA"
96,4,"[('trust', 1), ('social', 1), ('choice', 1)]","[('and', 11), ('groups', 8), ('to', 7), ('their', 6)]","[('test', 1), ('positive', 1), ('negative', 1), ('experiment', 1)]",[],"[('social', 1)]",10.1016/j.cresp.2021.100016,"Motivational foundations of communication, voluntary cooperation, and self-governance in a common-pool resource dilemma"
97,0,[],[],[],[],[],10.4018/978-1-5225-0726-0,Collaboration and Student Engagement in Design Education
98,3,"[('social', 1)]","[('de', 10), ('le', 7), ('à', 7), ('soutien', 6)]","[('test', 1), ('found', 1), ('study', 1), ('conventional', 1)]","[('increase', 1)]","[('social', 1)]",10.1002/cjas.1598,Whose autonomy support is more effective? Managers&#x27; or Co‐Workers’? An experimental comparison of source and occupational context on intrinsic motivation
99,0,"[('trump', 1), ('trust', 1)]","[('in', 13), ('national', 9), ('the', 8), ('identification', 6)]","[('test', 1), ('overall', 1), ('suggest', 1), ('study', 1)]","[('increase', 1)]",[],10.1111/pops.12752,War Against COVID‐19: How Is National Identification Linked With the Adoption of Disease‐Preventive Behaviors in China and the United States?
100,2,"[('information', 1), ('accuracy', 1)]","[('of', 8), ('the', 8), ('competence', 8), ('information', 7)]","[('negative', 1), ('argue', 1), ('experiment', 1)]",[],[],10.1371/journal.pone.0201180,"If it doesn’t help, it doesn’t hurt? Information elaboration harms the performance of gender-diverse teams when attributions of competence are inaccurate"
101,0,[],"[('the', 9), ('productivity', 7), ('is', 5), ('output', 5)]",[],[],[],10.1016/j.geb.2017.11.005,Output restriction and the ratchet effect: Evidence from a real-effort work task
102,2,"[('belief', 1), ('human', 1), ('behavior', 1), ('social', 1)]","[('in', 6), ('uncertainty', 5), ('that', 5), ('group', 4)]","[('recent', 1), ('suggest', 1)]",[],"[('social', 1)]",10.2139/ssrn.3193594,Social Value Orientation and Group Size Uncertainty in Public Good Dilemmas
103,5,"[('behavior', 1), ('information', 1), ('experience', 1), ('social', 1)]","[('interdependence', 11), ('and', 11), ('of', 9), ('in', 7)]","[('recent', 1), ('study', 1), ('measure', 1), ('framework', 1)]",[],"[('social', 1)]",10.1037/pspp0000166,How Do People Think About Interdependence? A Multidimensional Model of Subjective Outcome Interdependence
104,-1,"[('social', 1)]","[('games', 8), ('the', 7), ('and', 5), ('social', 4)]",[],[],"[('social', 1)]",10.1177/1088868310368535,Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
105,-1,"[('social', 1)]","[('the', 13), ('and', 10), ('of', 9), ('social', 6)]",[],[],"[('social', 1)]",10.1177/1088868313501745,Social Value Orientation
106,2,"[('design', 1), ('information', 1), ('social', 1), ('trust', 1)]","[('the', 19), ('of', 16), ('and', 11), ('to', 9)]","[('control', 1), ('semantic', 1), ('model', 1)]",[],"[('social', 1)]",10.1075/z.230,Coherence
